FILENAME,Filename French,Filename English v.2.1,Excluded in the article,Name,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb Names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 1-resp,Nb category,Modal category,Fq modal category,% Category Agreement,Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
bandage,bandage,bandage,,,39,3,6,4,8%,15%,10%,26,bandage,11,28%,42%,11,2.82,,36,Medical&instrument&accessories,24,67%,1.66,,37,3.84,1.21,,37,2.43,1.14,,33,3.58,1.50,,33,3.67,1.31,,33,2.45,1.35
bandaid01,pansement01,bandaid01,,,38,3,3,0,8%,8%,0%,32,band-aid,24,63%,75%,6,1.35,,34,Medical&instrument&accessories,16,47%,1.80,,37,3.89,1.33,,36,1.86,0.80,,33,4.00,1.27,,33,3.64,1.39,,33,3.21,1.49
baseball01a,balle_de_baseball01a,baseball01a,,,39,0,0,0,0%,0%,0%,39,baseball,34,87%,87%,5,0.80,,39,Outdoor activity&sport items,35,90%,0.56,,39,3.82,1.23,,39,2.44,1.21,,33,4.73,0.63,,33,4.82,0.39,,33,3.48,1.42
bastingbrush,Pinceau_a_cuisson,bastingbrush,,,39,3,5,1,8%,13%,3%,30,brush,11,28%,37%,17,3.41,,36,Kitchen&utensils,21,58%,1.90,,37,3.43,1.56,,37,2.03,1.12,,33,2.61,1.52,,33,2.79,1.39,,33,3.03,1.49
battery02b,pile02b,battery02b,,,38,0,0,0,0%,0%,0%,38,battery,36,95%,95%,3,0.35,,37,Electronic devices&accessories,31,84%,0.84,,38,4.58,0.72,,38,2.18,0.98,,33,3.73,1.38,,33,3.48,1.25,,33,1.61,1.00
beermug01a,boc_a_biere01a,beermug01a,,,39,0,0,0,0%,0%,0%,39,beer mug,10,26%,26%,11,3.09,,38,Kitchen&utensils,32,84%,0.77,,39,4.31,1.15,,39,2.67,1.08,,33,4.55,0.62,,33,4.58,0.61,,32,3.47,1.29
belt02a,ceinture02a,belt02a,,,39,0,0,0,0%,0%,0%,39,belt,37,95%,95%,3,0.34,,39,Clothing,39,100%,0.00,,39,4.38,0.91,,39,2.03,1.06,,32,4.31,0.93,,31,4.29,0.90,,32,3.84,1.39
bib,bavette,bib,,,37,0,3,2,0%,8%,5%,32,Bib,27,73%,84%,4,0.84,,39,Clothing,28,72%,1.33,,39,3.79,1.30,,39,2.54,1.33,,29,4.07,1.10,,30,3.97,1.16,,30,2.67,1.47
bikehelmet,casque_de_velo,bicyclehelmet,,,39,0,1,0,0%,3%,0%,38,helmet,19,49%,50%,7,1.89,,39,Outdoor activity&sport items,37,95%,0.34,,39,4.13,1.06,,39,2.97,1.20,,33,4.42,0.83,,32,4.31,1.03,,33,2.85,1.66
binder03b,cartable03b,binder03b,,,39,0,0,1,0%,0%,3%,38,binder,26,67%,68%,6,1.46,,39,Stationary&schoolsupplies,39,100%,0.00,,39,4.38,0.96,,39,1.97,0.84,,33,4.00,1.15,,32,3.34,1.26,,32,2.22,1.36
binoculars01b,jumelles01b,binoculars01b,,,39,0,2,2,0%,5%,5%,35,binoculars,34,87%,97%,2,0.19,,37,Outdoor activity&sport items,25,68%,1.50,,39,4.03,1.11,,39,3.46,1.33,,33,4.76,0.61,,33,4.18,1.18,,33,4.36,1.19
birdie,volant,birdie,,,38,2,4,0,5%,11%,0%,32,birdie,12,32%,38%,16,5.16,,34,Outdoor activity&sport items,26,76%,1.20,,37,3.86,1.44,,37,2.78,1.34,,32,4.59,0.71,,32,3.84,1.44,,33,2.67,1.38
blackberry,mures,blackberry,,,39,1,3,2,3%,8%,5%,33,blackberry,23,59%,70%,6,1.57,,38,Food,33,87%,0.66,,38,4.24,1.00,,38,2.68,1.16,,33,3.67,1.49,,33,3.97,1.38,,33,1.18,0.53
bleachbottle,bouteille_d_eau_de_javelle,bleachbottle,,,39,1,1,0,3%,3%,0%,37,bottle,11,28%,30%,20,3.74,,38,Householdarticles&cleaners,31,82%,1.00,,37,3.89,1.22,,38,1.87,0.93,,29,4.52,0.95,,28,4.43,1.03,,30,1.43,0.94
blueberry01,bleuet01,blueberry01,,,39,2,1,1,5%,3%,3%,35,blueberry,33,85%,94%,3,0.37,,38,Food,31,82%,0.69,,38,4.37,1.13,,38,2.05,1.04,,33,4.67,0.85,,33,4.70,0.59,,32,1.59,1.27
boltandnut02,boulon04,boltandnut02,yes,,37,1,2,1,3%,5%,3%,33,screw,12,32%,36%,7,2.34,,37,Handlabourtools&accessories,22,59%,1.26,,37,3.46,1.46,,36,2.72,1.16,,32,3.94,1.37,,32,3.03,1.38,,32,2.22,1.50
book01b,livre01b,book01b,,,39,0,0,0,0%,0%,0%,39,book,35,90%,90%,5,0.68,,39,Stationary&schoolsupplies,20,51%,1.66,,39,4.54,0.79,,39,2.21,1.15,,33,4.18,0.98,,33,2.85,1.42,,33,3.88,1.41
boosterseat,banc_d_appoint,boosterseat,yes,,39,1,2,1,3%,5%,3%,35,baby seat,11,28%,31%,16,3.37,,32,others,13,41%,2.49,,37,3.30,1.39,,37,2.35,1.11,,32,3.03,1.33,,32,3.66,1.18,,32,2.25,1.22
boot02b,botte02b,boot02b,,,39,0,0,0,0%,0%,0%,39,boot,32,82%,82%,6,1.08,,39,Clothing,36,92%,0.51,,38,4.45,0.95,,38,2.29,1.11,,33,3.85,1.18,,32,3.81,1.33,,32,2.81,1.40
bottlecap,capsule,bottlecap,,,38,0,2,1,0%,5%,3%,35,bottle cap,30,79%,86%,6,0.92,,38,others,22,58%,1.68,,38,4.11,1.16,,38,2.13,1.17,,33,4.33,0.96,,33,3.30,1.59,,33,2.58,1.54
bottleofredwine01,bouteille_de_vin01,bottleofredwine01,,,38,0,0,0,0%,0%,0%,38,wine bottle,26,68%,68%,3,1.11,,39,Food,30,77%,1.34,,39,4.44,1.02,,39,2.28,1.21,,33,4.48,0.97,,33,4.45,0.97,,33,2.94,1.54
bottleopener01,decapsuleur01,bottleopener01,,,39,1,3,0,3%,8%,0%,35,bottle opener,24,62%,69%,5,1.37,,36,Kitchen&utensils,26,72%,1.50,,34,3.97,1.29,,35,2.34,1.14,,33,2.79,1.58,,33,2.82,1.45,,33,3.21,1.45
bowl01,bol,bowl01,,,39,0,0,0,0%,0%,0%,39,bowl,26,67%,67%,6,1.60,,39,Kitchen&utensils,36,92%,0.46,,39,4.41,0.82,,39,2.10,1.17,,33,3.82,1.07,,33,4.09,1.21,,33,1.79,1.17
bowl02a,bol_de_ceramique,bowl02a,,,39,0,0,0,0%,0%,0%,39,bowl,33,85%,85%,6,0.97,,39,Kitchen&utensils,25,64%,1.52,,39,4.05,1.12,,39,2.31,1.28,,33,3.45,1.20,,32,3.84,1.25,,32,2.06,1.32
box01a,boite_a_cadeau01,box01,,,39,0,0,0,0%,0%,0%,39,box,19,49%,49%,7,2.04,,38,Decoration&gift accessories,26,68%,1.57,,39,3.74,1.39,,39,2.49,1.34,,33,2.88,1.47,,33,3.39,1.43,,33,2.67,1.34
boxcutter03a,xacto03a,boxcutter03a,,,38,0,5,1,0%,13%,3%,32,exacto knife,13,34%,41%,14,4.47,,37,Handlabourtools&accessories,32,86%,0.67,,37,4.24,0.98,,37,2.95,1.39,,29,4.03,1.24,,29,3.72,1.22,,29,2.76,1.33
bracelet01,bracelet01,bracelet01,,,39,1,2,2,3%,5%,5%,34,bracelet,21,54%,62%,10,2.08,,38,Jewels&money,20,53%,2.11,,38,3.45,1.50,,38,2.21,1.21,,33,2.82,1.51,,33,3.55,1.50,,33,2.94,1.50
bracelet04,bracelet04,bracelet04,,,39,2,5,1,5%,13%,3%,31,bracelet,16,41%,52%,10,2.48,,35,Jewels&money,14,40%,2.24,,37,3.81,1.37,,37,2.32,1.16,,33,2.97,1.47,,33,3.21,1.52,,33,3.30,1.33
branch02,branche02,branch02,,,39,1,1,2,3%,3%,5%,35,branch,14,36%,40%,4,1.67,,36,Natural&elements,29,81%,0.98,,37,4.32,1.08,,37,2.11,1.07,,33,3.61,1.12,,32,3.56,1.16,,33,2.45,1.28
brick,brique,brick,,,39,0,2,0,0%,5%,0%,37,brick,37,95%,100%,1,0.00,,38,BuildingInfrastructure,22,58%,1.48,,39,3.64,1.39,,39,2.21,1.22,,33,3.82,1.13,,33,4.12,1.08,,33,1.76,1.12
broccoli01a,brocoli01a,broccoli01a,,,39,0,0,0,0%,0%,0%,39,broccoli,38,97%,97%,2,0.17,,35,Food,28,80%,0.84,,35,4.66,0.80,,35,2.74,1.20,,32,4.69,0.54,,32,4.22,0.97,,32,1.28,0.68
brooch,broche,brooch,,,38,3,3,1,8%,8%,3%,31,brooch,16,42%,52%,9,2.26,,35,Jewels&money,17,49%,1.49,,39,3.00,1.49,,39,3.59,1.33,,33,3.15,1.52,,33,3.61,1.41,,33,2.12,1.32
broom01,balai01,broom01,,,39,0,2,1,0%,5%,3%,36,broom,34,87%,94%,3,0.37,,39,Householdarticles&cleaners,28,72%,1.49,,39,4.26,0.91,,38,2.29,1.01,,32,4.50,0.67,,32,3.03,1.40,,32,3.91,1.12
brusselssprout,chou_de_bruxelle,brusselssprout,,,39,0,3,0,0%,8%,0%,36,brussels sprout,11,28%,31%,8,2.42,,39,Food,29,74%,0.94,,39,4.33,1.06,,39,2.33,1.08,,32,4.06,1.11,,32,3.78,1.10,,32,1.25,0.62
bubbleblower,savon_a_bulles,bubbleblower,yes,,38,1,4,2,3%,11%,5%,31,bubbles,7,18%,23%,16,3.56,,38,Gamestoys&entertainment,31,82%,0.90,,38,3.79,1.34,,37,2.41,1.12,,33,3.67,1.31,,33,4.33,0.85,,33,3.85,1.42
bucket01a,chaudiere01a,bucket01a,,,37,0,0,1,0%,0%,3%,36,bucket,21,57%,58%,7,1.76,,39,Householdarticles&cleaners,29,74%,1.25,,39,3.95,1.28,,39,2.03,1.01,,33,3.67,1.31,,33,3.61,1.25,,33,2.45,1.42
bungeecord02,tendeur02,bungeecord02,,,39,1,8,7,3%,21%,18%,23,bungee cord,11,28%,48%,12,2.78,,38,Handlabourtools&accessories,13,34%,1.99,,38,3.63,1.32,,38,2.26,1.16,,32,3.97,1.47,,32,3.81,1.35,,32,2.59,1.43
butterdish,beurrier,butterdish,,,39,3,9,0,8%,23%,0%,27,butter dish,14,36%,52%,11,2.56,,35,Kitchen&utensils,29,83%,0.99,,35,3.54,1.40,,35,2.14,1.06,,33,3.27,1.44,,33,3.82,1.42,,33,1.61,1.20
button01,bouton01,button01,,,39,0,0,3,0%,0%,8%,36,button,36,92%,100%,1,0.00,,39,Clothing,21,54%,1.74,,39,4.41,0.91,,39,1.62,0.96,,33,3.97,1.19,,33,3.97,1.26,,33,2.64,1.39
cabbage,chou,cabbage,,,39,0,0,1,0%,0%,3%,38,cabbage,29,74%,76%,4,1.02,,39,Food,28,72%,0.98,,37,4.32,1.00,,37,2.73,1.30,,33,4.48,0.83,,33,4.52,0.97,,33,1.64,1.27
calculator01,calculatrice01,calculator01,,,38,0,0,0,0%,0%,0%,38,calculator,38,100%,100%,1,0.00,,39,Stationary&schoolsupplies,29,74%,0.94,,39,4.33,0.98,,39,3.13,1.32,,33,4.09,1.04,,33,3.03,1.26,,33,3.03,1.49
