FILENAME,Filename French,Filename English v.2.1,Excluded in the article,Name,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb Names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 1-resp,Nb category,Modal category,Fq modal category,% Category Agreement,Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
cigarette,cigarette,cigarette,,,39,0,0,0,0%,0%,0%,39,cigarette,37,95%,95%,2,0.29,,38,others,31,82%,1.03,,39,4.10,1.35,,39,2.00,1.10,,33,4.48,0.91,,33,3.82,1.29,,33,4.24,1.20
cleaver01,couteau01,cleaver01,,,39,1,2,0,3%,5%,0%,36,knife,23,59%,64%,9,1.98,,38,Kitchen&utensils,34,89%,0.57,,38,3.76,1.32,,38,2.05,0.96,,31,3.29,1.30,,29,3.55,1.38,,29,2.79,1.26
clipboard,porte-document,clipboard,,,39,0,9,1,0%,23%,3%,29,clipboard,23,59%,79%,7,1.27,,39,Stationary&schoolsupplies,36,92%,0.51,,39,4.08,1.22,,38,2.08,1.05,,33,4.27,0.80,,33,3.79,1.14,,33,2.18,1.31
clock01a,cadran01a,clock01a,,,39,0,0,0,0%,0%,0%,39,clock,36,92%,92%,3,0.46,,39,Decoration&gift accessories,13,33%,2.25,,39,4.46,0.97,,39,2.69,1.28,,33,3.18,1.36,,33,3.21,1.39,,33,3.09,1.55
clock04,horloge01,clock04,,,39,0,0,0,0%,0%,0%,39,clock,34,87%,87%,4,0.75,,38,Decoration&gift accessories,24,63%,1.77,,39,3.85,1.16,,38,3.42,1.39,,32,2.63,1.54,,33,3.39,1.37,,33,2.48,1.39
clothespin03b,epingle_a_linge03b,clothespin03b,,,39,1,4,5,3%,10%,13%,29,clothes pin,21,54%,72%,6,1.44,,37,Householdarticles&cleaners,21,57%,1.95,,38,4.26,1.03,,38,2.26,1.16,,32,4.34,1.18,,33,3.00,1.35,,33,2.58,1.50
coaster,sous-verre,coaster,yes,,39,5,7,1,13%,18%,3%,26,tile,17,44%,65%,8,1.84,,32,Decoration&gift accessories,11,34%,2.35,,35,3.06,1.59,,35,2.80,1.23,,30,3.03,1.35,,29,3.48,1.53,,30,1.43,0.90
coconut,noix_de_coco,coconut,,,39,1,1,0,3%,3%,0%,37,coconut,33,85%,89%,4,0.66,,39,Food,29,74%,0.82,,38,3.92,1.34,,38,2.32,1.30,,33,4.21,1.27,,33,4.09,1.31,,32,1.69,1.15
coffeebean,cafe,coffeebeans,,,39,0,0,0,0%,0%,0%,39,coffee beans,31,79%,79%,5,1.09,,38,Food,31,82%,0.80,,38,4.32,0.90,,38,2.11,1.09,,33,4.55,0.87,,32,4.53,0.95,,33,1.91,1.33
coffeepot03a,cafetiere03a,coffeepot03a,,,39,0,1,0,0%,3%,0%,38,coffee pot,19,49%,50%,14,2.79,,39,Kitchen&utensils,34,87%,0.80,,39,4.18,1.02,,38,2.34,1.24,,33,4.12,0.93,,32,4.25,1.11,,33,2.18,1.24
coin01b,monnaie01b,coins01b,,,39,0,0,0,0%,0%,0%,39,coins,24,62%,62%,4,1.23,,39,Jewels&money,31,79%,0.84,,39,4.72,0.60,,39,2.23,1.01,,33,4.33,0.99,,33,4.18,1.04,,33,2.61,1.43
cola,verre_de_cola,cola,yes,,39,0,0,1,0%,0%,3%,38,cola,6,15%,16%,22,4.17,,37,Food,31,84%,0.95,,38,3.97,1.10,,38,2.45,1.33,,32,3.84,1.46,,32,3.69,1.28,,32,1.59,1.10
comb02a,peigne02a,comb02a,,,39,0,0,0,0%,0%,0%,39,comb,34,87%,87%,4,0.73,,39,Skincare&bathroom items,35,90%,0.56,,39,4.38,1.07,,39,1.90,0.97,,33,3.67,1.19,,33,2.94,1.32,,33,4.09,1.28
compactpowder,fard_a_joue,compactpowder,,,38,0,4,0,0%,11%,0%,34,compact,9,24%,26%,13,3.25,,38,Skincare&bathroom items,35,92%,0.47,,38,3.89,1.25,,38,2.24,1.13,,31,4.23,1.09,,31,3.71,1.30,,32,3.22,1.60
computerkeyboard02,clavier02,computerkeyboard02,,,39,0,0,1,0%,0%,3%,38,keyboard,34,87%,89%,5,0.70,,37,Electronic devices&accessories,36,97%,0.18,,39,4.69,0.66,,39,3.10,1.29,,33,4.15,1.20,,33,4.12,1.02,,33,4.03,1.24
computermouse06,souris06,computermouse06,,,39,0,0,0,0%,0%,0%,39,mouse,33,85%,85%,2,0.62,,39,Electronic devices&accessories,34,87%,0.80,,39,4.77,0.54,,39,2.59,1.29,,33,4.67,0.54,,33,3.91,1.35,,32,3.19,1.49
condom,condom,condom,,,39,0,0,0,0%,0%,0%,39,condom,39,100%,100%,1,0.00,,37,Skincare&bathroom items,15,41%,2.21,,39,4.08,1.09,,39,2.15,1.01,,33,4.03,1.29,,33,3.88,1.49,,33,3.39,1.64
cookie01,biscuit,cookie01,,,39,1,0,0,3%,0%,0%,38,cookie,31,79%,82%,5,1.00,,39,Food,37,95%,0.34,,39,4.41,1.02,,39,1.87,0.77,,33,3.94,1.27,,33,4.12,1.19,,33,2.03,1.26
cookiecutter,moule_a_patisserie,cookiecutter,,,39,1,6,1,3%,15%,3%,31,cookie cutter,22,56%,71%,9,1.72,,38,Kitchen&utensils,37,97%,0.18,,39,3.72,1.43,,39,1.97,1.06,,33,3.94,1.34,,33,3.85,1.20,,33,2.03,1.29
cooler01,glaciere,cooler01,,,39,0,1,0,0%,3%,0%,38,cooler,24,62%,63%,10,2.04,,38,Outdoor activity&sport items,22,58%,1.76,,39,4.00,1.21,,39,2.03,1.06,,33,4.15,1.37,,32,4.13,1.31,,32,2.25,1.39
cork01,bouchon_de_vin,cork01,yes,,39,6,2,0,15%,5%,0%,31,cork,12,31%,39%,8,2.11,,33,Decoration&gift accessories,17,52%,2.14,,34,3.79,1.23,,36,2.61,1.29,,33,2.70,1.45,,33,3.91,1.28,,33,2.70,1.47
corkscrew03a,tire-bouchon03a,corkscrew03a,,,39,0,5,3,0%,13%,8%,31,corkscrew,21,54%,68%,7,1.66,,39,Kitchen&utensils,35,90%,0.68,,39,3.95,1.32,,39,2.36,1.18,,32,4.13,0.91,,32,3.97,1.15,,33,3.30,1.42
cottonpad,coton,cottonpad,,,39,4,5,1,10%,13%,3%,29,cotton pad,9,23%,31%,16,3.50,,34,Skincare&bathroom items,28,82%,0.85,,34,3.74,1.33,,34,2.26,1.19,,31,3.74,1.37,,32,3.66,1.33,,32,1.84,1.25
cracker02,craquelin02,cracker02,,,39,0,0,0,0%,0%,0%,39,cracker,28,72%,72%,5,1.36,,39,Food,38,97%,0.17,,39,4.38,0.96,,39,2.18,1.10,,33,4.42,0.75,,33,4.09,1.16,,33,1.88,1.22
crayon,crayon_de_cire,crayon,,,39,0,0,0,0%,0%,0%,39,crayon,32,82%,82%,7,1.13,,39,Stationary&schoolsupplies,30,77%,0.90,,39,4.10,1.41,,39,1.92,1.06,,32,4.13,1.21,,32,3.81,1.31,,32,2.25,1.37
crocodileclips,pinces_electroniques01,crocodileclips,yes,,39,9,10,3,23%,26%,8%,17,cable,4,10%,24%,13,3.50,,30,Electronic devices&accessories,22,73%,1.57,,31,3.10,1.51,,33,2.52,1.25,,,,,,,,,,,,
croissant01,croissant,croissant01,,,39,0,0,2,0%,0%,5%,37,croissant,33,85%,89%,5,0.71,,39,Food,38,97%,0.17,,39,4.51,0.94,,39,2.87,1.40,,33,4.30,1.10,,33,4.03,1.31,,33,1.73,1.04
crumpledpaper,feuille_de_papier,crumpledpaper,,,38,1,0,0,3%,0%,0%,37,paper,18,47%,49%,10,2.30,,38,Stationary&schoolsupplies,25,66%,1.56,,39,3.97,1.18,,39,2.59,1.31,,33,4.03,1.31,,33,4.03,1.36,,32,2.66,1.62
cucumber,concombre,cucumber,,,38,0,0,0,0%,0%,0%,38,cucumber,36,95%,95%,3,0.35,,37,Food,28,76%,0.80,,38,4.47,0.92,,38,1.84,0.97,,33,4.67,0.65,,33,4.03,1.26,,32,1.41,0.95
cuttingboard,planche_a_depecer,cuttingboard,,,38,5,8,0,13%,21%,0%,25,cutting board,12,32%,48%,14,2.92,,30,Kitchen&utensils,23,77%,1.11,,34,3.56,1.67,,33,2.06,1.20,,33,3.45,1.50,,33,3.73,1.35,,33,2.36,1.39
cuttingpliers02,pince_coupante02,cuttingpliers02,yes,,39,0,11,1,0%,28%,3%,27,pliers,13,33%,48%,6,1.97,,39,Handlabourtools&accessories,36,92%,0.51,,39,3.56,1.25,,39,2.72,0.97,,33,4.09,1.16,,33,3.30,1.19,,33,2.27,1.26
date,datte,date,yes,,39,0,1,0,0%,3%,0%,38,raisin,28,72%,74%,7,1.40,,39,Food,33,85%,0.81,,39,4.13,1.17,,39,2.18,1.12,,,,,,,,,,,,
dentalfloss03b,soie_dentaire03b,dentalfloss03b,,,39,0,2,1,0%,5%,3%,36,dental floss,18,46%,50%,10,2.16,,38,Skincare&bathroom items,29,76%,1.44,,39,4.15,1.16,,39,2.33,1.06,,33,3.88,1.17,,33,3.55,1.42,,33,3.88,1.24
deodorant02a,deodorant02a,deodorant02a,,,38,0,1,0,0%,3%,0%,37,deodorant,32,84%,86%,5,0.83,,39,Skincare&bathroom items,32,82%,0.79,,37,4.54,1.02,,37,2.14,0.92,,32,3.66,1.26,,32,3.94,1.27,,32,4.00,1.27
diaper01c,couche,diaper01c,,,39,1,1,0,3%,3%,0%,37,diaper,29,74%,78%,8,1.35,,38,others,16,42%,1.72,,39,3.56,1.41,,39,2.41,1.07,,32,3.81,1.15,,32,3.53,1.22,,32,2.63,1.39
dice05a,de05a,dice05a,,,39,0,1,2,0%,3%,5%,36,dice,35,90%,97%,2,0.18,,38,Gamestoys&entertainment,35,92%,0.52,,39,4.49,0.68,,38,2.29,1.29,,32,4.34,1.10,,32,4.22,1.24,,32,3.38,1.64
dishsoap,savon_a_vaiselle,dishsoap,,,39,0,1,0,0%,3%,0%,38,dish soap,16,41%,42%,10,2.66,,38,Householdarticles&cleaners,31,82%,0.80,,39,4.44,0.82,,39,2.28,1.15,,33,4.12,1.08,,33,4.24,1.09,,33,2.21,1.45
divider02,separateur02,divider02,,,39,1,5,1,3%,13%,3%,32,divider,9,23%,28%,17,3.60,,38,Stationary&schoolsupplies,36,95%,0.35,,39,4.31,1.15,,37,1.65,0.79,,31,3.97,1.30,,31,3.52,1.36,,31,1.55,0.89
doll,poupee,doll,,,37,0,1,0,0%,3%,0%,36,doll,28,76%,78%,4,1.08,,35,Gamestoys&entertainment,33,94%,0.37,,36,3.72,1.32,,35,3.00,1.31,,33,3.18,1.40,,33,2.42,1.44,,33,2.15,1.12
doorlock,serrure,doorlock,,,39,0,2,0,0%,5%,0%,37,lock,18,46%,49%,7,1.97,,37,others,14,38%,2.03,,39,3.87,1.17,,39,2.69,1.26,,32,2.72,1.49,,32,2.75,1.37,,33,3.06,1.50
drill01b,perceuse01b,drill01b,,,38,0,4,0,0%,11%,0%,34,drill,16,42%,47%,11,2.59,,37,Handlabourtools&accessories,29,78%,1.29,,37,3.92,1.19,,36,3.25,1.23,,33,4.33,0.85,,33,4.03,1.07,,32,3.28,1.53
drillbit03a,meche03a,drillbit03a,,,39,0,6,1,0%,15%,3%,32,drill bit,21,54%,66%,9,1.87,,38,Handlabourtools&accessories,31,82%,1.08,,39,3.28,1.39,,39,2.54,1.21,,32,4.22,1.04,,32,3.88,1.16,,32,2.38,1.58
dropper01,compte_gouttes,dropper01,,,39,3,9,2,8%,23%,5%,25,dropper,18,46%,72%,8,1.64,,36,Medical&instrument&accessories,30,83%,0.97,,38,3.16,1.52,,38,2.53,1.13,,33,4.12,1.19,,32,3.56,1.34,,32,3.06,1.44
drum01,tam-tam,drum01,,,39,1,2,1,3%,5%,3%,35,drum,18,46%,51%,11,2.51,,37,Musical&instruments,27,73%,1.36,,38,3.61,1.33,,38,3.29,1.39,,33,3.76,1.25,,33,4.36,0.99,,33,3.55,1.37
dustpan,porte-poussiere,dustpan,,,39,0,8,3,0%,21%,8%,28,dust pan,23,59%,82%,4,0.92,,38,Householdarticles&cleaners,33,87%,0.76,,39,4.23,1.04,,39,2.05,1.05,,33,4.30,0.92,,33,3.94,1.06,,33,3.39,1.25
dvdplayer,lecteur_DVD,dvdplayer,yes,,36,12,7,0,33%,19%,0%,17,DVD player,7,19%,41%,9,2.65,,27,Electronic devices&accessories,13,48%,1.79,,34,2.76,1.71,,33,2.15,1.28,,33,3.58,1.48,,33,3.36,1.48,,33,2.12,1.36
earring01,boucle_d_oreille01,earrings01,,,37,4,0,0,11%,0%,0%,33,earrings,33,89%,100%,1,0.00,,34,Jewels&money,23,68%,1.71,,35,4.09,1.27,,35,2.66,1.14,,32,3.28,1.37,,32,3.16,1.37,,32,3.63,1.64
egg01a,oeuf01a,egg01a,yes,,38,8,4,1,21%,11%,3%,25,egg,10,26%,40%,7,2.23,,31,Food,17,55%,1.98,,36,3.28,1.80,,36,1.56,0.94,,33,3.21,1.63,,33,2.97,1.59,,33,2.58,1.68
eggplant,aubergine,eggplant,,,39,0,1,2,0%,3%,5%,36,eggplant,32,82%,89%,4,0.67,,39,Food,31,79%,0.84,,39,4.00,1.34,,39,2.21,1.06,,33,4.85,0.36,,33,3.64,1.45,,33,1.52,1.09
electricrazor,rasoir_electrique,electricrazor,,,39,0,0,1,0%,0%,3%,38,electric razor,18,46%,47%,9,2.33,,38,Skincare&bathroom items,22,58%,1.12,,39,3.69,1.26,,39,3.13,1.28,,32,4.19,1.15,,32,3.06,1.46,,32,3.66,1.45
endive,endive,endive,,,39,1,12,5,3%,31%,13%,21,endive,12,31%,57%,9,2.25,,37,Food,29,78%,0.75,,38,3.66,1.34,,37,2.11,0.94,,26,3.81,1.41,,27,3.30,1.46,,27,1.56,1.31
englishmuffin,muffin_anglais,englishmuffin,,,39,0,1,0,0%,3%,0%,38,english muffin,20,51%,53%,8,2.25,,38,Food,37,97%,0.18,,39,4.13,0.98,,39,2.36,1.16,,32,3.81,1.60,,32,4.19,1.20,,32,1.81,1.20
envelope03a,enveloppe03a,envelope03a,,,39,0,0,0,0%,0%,0%,39,envelope,39,100%,100%,1,0.00,,38,Stationary&schoolsupplies,33,87%,0.76,,38,4.61,0.68,,38,1.82,0.98,,33,4.70,0.77,,33,3.24,1.32,,33,3.18,1.47
eraser,gomme_a_effacer,eraser,,,39,0,1,0,0%,3%,0%,38,eraser,35,90%,92%,3,0.47,,39,Stationary&schoolsupplies,37,95%,0.34,,39,4.33,1.03,,39,1.87,0.83,,33,3.85,1.37,,33,4.15,0.97,,33,3.30,1.72
ethernetcable02,cable01,ethernetcable02,,,39,0,2,1,0%,5%,3%,36,cable,9,23%,25%,14,3.21,,38,Electronic devices&accessories,37,97%,0.18,,39,3.95,1.23,,39,2.56,1.14,,32,3.88,1.24,,32,3.66,1.31,,32,1.44,0.80
exercisebench,banc_de_musculation,exercisebench,,,39,2,6,1,5%,15%,3%,30,exercise bench,8,21%,27%,15,3.44,,38,Outdoor activity&sport items,29,76%,1.13,,38,3.34,1.36,,38,2.63,1.17,,33,3.85,1.12,,33,3.58,1.44,,33,2.30,1.40
expandablefolder03a,porte_documents03a,expandablefolder03a,,,34,1,1,2,3%,3%,6%,30,folder,14,41%,47%,13,2.80,,33,Stationary&schoolsupplies,29,88%,0.53,,34,3.91,1.22,,33,2.30,1.10,,32,2.97,1.53,,30,3.10,1.45,,30,1.67,0.84
expansioncard,carte_d_ordinateur,circuitboard,,,38,0,2,1,0%,5%,3%,35,motherboard,9,24%,26%,18,3.64,,38,Electronic devices&accessories,32,84%,0.93,,39,3.36,1.42,,39,4.13,1.10,,30,3.77,1.57,,31,3.87,1.50,,31,1.58,1.09
extensioncord,extension_electrique,extensioncord,,,38,0,1,0,0%,3%,0%,37,extension cord,16,42%,43%,15,3.08,,38,Electronic devices&accessories,30,79%,0.97,,39,4.13,1.22,,39,2.36,1.16,,33,4.00,1.17,,33,3.76,1.25,,33,2.45,1.44
eyedrops,bouteille_a_gouttes,eyedrops,,,39,5,3,0,13%,8%,0%,31,eye drops,6,15%,19%,18,3.77,,33,Medical&instrument&accessories,16,48%,2.09,,36,3.25,1.52,,36,2.28,0.97,,33,3.33,1.47,,33,3.61,1.54,,33,2.91,1.77
fan,ventilateur,fan,,,38,0,0,0,0%,0%,0%,38,fan,34,89%,89%,5,0.70,,37,Electronic devices&accessories,20,54%,1.57,,39,4.23,1.01,,39,3.13,1.20,,33,3.76,1.17,,33,3.58,1.25,,33,2.42,1.32
feather03a,plume03a,feather03a,,,39,0,1,1,0%,3%,3%,37,feather,37,95%,100%,1,0.00,,39,Natural&elements,20,51%,1.44,,39,3.95,1.32,,39,2.49,1.25,,33,4.12,0.86,,33,3.67,1.47,,33,2.15,1.35
filmnegative,film_negatif,filmnegative,,,39,0,0,1,0%,0%,3%,38,film,14,36%,37%,13,3.00,,39,others,19,49%,1.74,,39,3.90,1.33,,39,2.08,1.06,,33,4.12,1.32,,33,4.15,1.15,,33,1.67,1.14
filmroll,film,filmroll,,,39,0,0,2,0%,0%,5%,37,film,17,44%,46%,9,2.29,,37,Electronic devices&accessories,15,41%,2.14,,37,4.11,1.20,,36,2.83,1.25,,33,3.94,1.43,,33,3.85,1.37,,33,2.09,1.42
fireextinguisher01,extincteur,fireextinguisher01,,,39,2,3,1,5%,8%,3%,33,fire extinguisher,22,56%,67%,9,1.83,,37,others,23,62%,1.50,,38,3.66,1.46,,38,2.71,1.29,,33,3.79,1.19,,33,4.36,1.08,,33,2.97,1.59
fishinghook03,hamecon03,fishinghook03,,,39,1,6,2,3%,15%,5%,30,fishing hook,15,38%,50%,13,2.69,,37,Outdoor activity&sport items,33,89%,0.66,,38,3.24,1.51,,38,2.53,1.03,,32,3.44,1.39,,32,3.47,1.34,,32,2.72,1.46
flashlight02b,lampe_de_poche02b,flashlight02b,,,38,0,2,0,0%,5%,0%,36,flashlight,27,71%,75%,5,1.23,,38,Handlabourtools&accessories,11,29%,2.34,,39,4.28,0.94,,39,2.62,1.16,,33,3.88,1.08,,33,4.00,0.97,,33,3.03,1.40
flask,flasque,flask,,,39,0,2,1,0%,5%,3%,36,flask,20,51%,56%,12,2.47,,37,others,13,35%,2.47,,38,3.55,1.27,,38,2.97,1.20,,32,4.03,1.23,,32,3.97,1.15,,32,2.56,1.54
floortile01,plaque_de_ceramique,floortile01,,,38,3,3,0,8%,8%,0%,32,tile,29,76%,91%,4,0.60,,37,BuildingInfrastructure,22,59%,1.97,,38,3.63,1.44,,38,2.00,1.12,,31,4.32,0.87,,31,4.16,1.21,,31,1.81,1.28
floppydisk02a,disquette02a,floppydisk02a,,,38,0,0,1,0%,0%,3%,37,floppy disk,11,29%,30%,9,2.65,,38,Electronic devices&accessories,32,84%,0.73,,39,4.05,1.10,,39,2.36,1.06,,33,4.09,1.23,,33,3.76,1.30,,33,2.03,1.38
fluorescenttubelight01,neon,fluorescenttubelight01,yes,,39,9,2,0,23%,5%,0%,28,fluorescent tube,3,8%,11%,19,4.08,,32,Electronic devices&accessories,9,28%,2.64,,35,3.11,1.57,,38,2.29,1.31,,31,4.10,1.22,,32,3.22,1.36,,32,1.66,1.00
flyswatter,tapette_a_mouches,flyswatter,,,39,0,7,2,0%,18%,5%,30,fly swatter,27,69%,90%,4,0.63,,38,Householdarticles&cleaners,24,63%,1.82,,37,3.76,1.34,,38,1.92,1.00,,32,4.41,0.71,,32,4.31,0.86,,33,3.88,1.24
folder,dossier,folder,,,39,0,2,0,0%,5%,0%,37,folder,19,49%,51%,8,2.04,,38,Stationary&schoolsupplies,36,95%,0.35,,39,4.23,0.96,,39,1.64,0.99,,33,3.88,1.22,,32,3.25,1.55,,32,1.84,1.17
fonduefork01,fourchette_a_fondue,fonduefork01,,,38,0,12,2,0%,32%,5%,24,fondue fork,6,16%,25%,13,3.32,,38,Kitchen&utensils,30,79%,1.25,,38,3.16,1.44,,38,2.11,0.95,,32,4.53,0.88,,33,4.09,1.31,,33,2.00,1.25
foodprocessor,robot_culinaire,foodprocessor,yes,,37,0,1,1,0%,3%,3%,35,blender,14,38%,40%,11,2.59,,38,Kitchen&utensils,34,89%,0.57,,38,3.76,1.24,,38,3.39,1.31,,33,3.21,1.54,,33,3.94,1.27,,32,2.41,1.48
fork03c,fourchette03c,fork03c,,,37,0,0,0,0%,0%,0%,37,fork,36,97%,97%,2,0.18,,39,Kitchen&utensils,38,97%,0.17,,39,4.62,0.71,,39,2.15,1.01,,33,4.09,1.10,,33,4.06,1.14,,33,3.45,1.52
fork07b,fourchette_a_salade01b,fork07b,,,39,0,3,0,0%,8%,0%,36,fork,30,77%,83%,3,0.76,,39,Kitchen&utensils,39,100%,0.00,,39,4.15,1.01,,39,1.49,0.85,,33,3.06,1.48,,33,3.27,1.51,,33,3.06,1.54
fountainpen,crayon_plume,fountainpen,,,38,1,1,1,3%,3%,3%,35,pen,13,34%,37%,7,2.11,,37,Stationary&schoolsupplies,33,89%,0.66,,37,3.76,1.30,,38,2.21,0.99,,31,4.13,1.02,,31,3.42,1.41,,31,2.29,1.32
fryingpan02a,poele02a,fryingpan02a,,,38,0,0,0,0%,0%,0%,38,frying pan,22,58%,58%,6,1.61,,39,Kitchen&utensils,38,97%,0.17,,39,4.41,0.91,,39,2.46,1.21,,33,4.30,0.81,,33,3.97,1.24,,32,2.88,1.45
fusilli03a,nouille03a,fusilli03a,,,39,0,4,1,0%,10%,3%,34,pasta,21,54%,62%,9,2.02,,37,Food,36,97%,0.18,,38,4.39,1.00,,38,2.16,1.17,,33,2.91,1.55,,33,3.15,1.50,,33,1.85,1.28
gamepiece,pion,gamepiece,,,38,7,7,1,18%,18%,3%,23,game piece,5,13%,22%,16,3.76,,31,Gamestoys&entertainment,25,81%,1.06,,34,3.06,1.58,,34,1.74,1.11,,29,3.21,1.66,,30,3.60,1.50,,30,2.10,1.45
gardenshears01a,secateur01a,gardenshears01a,yes,,38,4,12,1,11%,32%,3%,21,cutter,3,8%,14%,14,3.62,,35,Handlabourtools&accessories,30,86%,0.87,,37,3.14,1.48,,37,2.62,1.28,,,,,,,,,,,,
garlic01a,ail01a,garlic01a,,,39,0,0,0,0%,0%,0%,39,garlic,34,87%,87%,2,0.55,,37,Food,31,84%,0.64,,39,4.56,0.79,,39,2.41,1.37,,33,4.45,0.90,,33,4.18,1.21,,33,1.64,1.08
garlicpress02a,presse_ail02a,garlicpress02a,,,39,2,7,2,5%,18%,5%,28,garlic press,16,41%,57%,8,2.07,,37,Kitchen&utensils,36,97%,0.18,,37,3.78,1.29,,36,2.69,1.19,,31,3.94,1.12,,32,3.22,1.21,,32,1.97,1.09
giftbag01a,sac_de_carton01b,giftbag01a,,,38,0,0,0,0%,0%,0%,38,gift bag,15,39%,39%,6,2.04,,38,Decoration&gift accessories,18,47%,2.07,,39,4.23,1.11,,39,1.92,0.90,,32,3.91,1.03,,32,4.25,1.02,,32,1.81,1.00
giftbow02b,chou_decoratif02b,giftbow02b,,,38,0,4,1,0%,11%,3%,33,bow,15,39%,45%,10,2.40,,39,Decoration&gift accessories,29,74%,1.42,,39,4.21,0.95,,39,2.90,1.19,,31,3.81,1.60,,29,4.14,1.38,,30,1.93,1.31
giftbow04,boucle,giftbow04,,,39,0,3,3,0%,8%,8%,33,bow,15,38%,45%,9,2.41,,38,Decoration&gift accessories,32,84%,0.86,,38,3.84,1.10,,38,2.11,0.98,,32,3.72,1.37,,32,3.38,1.24,,32,1.75,0.98
ginger,gingembre,ginger,,,38,1,2,0,3%,5%,0%,35,ginger,31,82%,89%,5,0.74,,39,Food,26,67%,1.18,,39,3.79,1.47,,39,2.18,1.07,,30,3.83,1.29,,30,3.80,1.30,,30,1.40,0.86
glass02a,verre02a,glass02a,,,37,0,0,0,0%,0%,0%,37,plastic cup,10,27%,27%,16,4.85,,39,Kitchen&utensils,30,77%,1.21,,39,4.56,0.64,,39,1.85,0.99,,33,3.55,1.52,,33,3.76,1.46,,32,2.22,1.45
glasses01a,lunettes01a,glasses01a,,,39,0,0,0,0%,0%,0%,39,glasses,28,72%,72%,4,1.10,,37,others,18,49%,1.83,,36,4.33,1.15,,36,2.81,1.04,,33,4.06,1.25,,33,2.85,1.54,,33,3.91,1.28
glassescase,etui04,wallet04,yes,,39,0,1,1,0%,3%,3%,37,wallet,17,44%,46%,13,2.67,,33,Clothing,9,27%,2.54,,38,4.26,1.06,,36,2.53,1.32,,33,2.85,1.48,,33,3.45,1.42,,33,2.79,1.49
glassmop,moppe_a_verre,glassmop,,,38,0,2,0,0%,5%,0%,36,mop,24,63%,67%,11,2.00,,39,Householdarticles&cleaners,28,72%,1.61,,39,4.15,1.16,,39,2.26,1.12,,33,4.00,0.97,,33,3.09,1.42,,33,4.06,1.14
globe,globe_trotter,globe,,,39,0,0,1,0%,0%,3%,38,globe,34,87%,89%,5,0.70,,38,Stationary&schoolsupplies,23,61%,1.82,,39,4.05,1.07,,39,3.26,1.39,,32,4.56,0.67,,32,4.22,1.13,,31,2.19,1.30
gluestick,baton_de_colle,gluestick,,,39,0,1,0,0%,3%,0%,38,glue stick,22,56%,58%,7,1.66,,39,Stationary&schoolsupplies,36,92%,0.46,,39,4.05,1.26,,39,2.15,0.93,,33,4.12,1.08,,31,3.32,1.51,,31,2.52,1.31
gluetube,tube_de_colle,gluetube,yes,,39,4,3,0,10%,8%,0%,32,glue,12,31%,38%,13,2.89,,32,Handlabourtools&accessories,12,38%,2.26,,36,3.19,1.26,,37,2.27,1.07,,33,3.12,1.49,,33,2.97,1.40,,33,2.39,1.43
grape01,raisins01,grape01,,,39,0,0,0,0%,0%,0%,39,grapes,36,92%,92%,4,0.51,,38,Food,29,76%,0.91,,38,4.63,0.67,,38,2.45,1.33,,33,3.76,1.30,,32,3.91,1.25,,33,2.15,1.48
grater01a,rape_a_fromage01a,grater01a,,,37,0,8,0,0%,22%,0%,29,grater,15,41%,52%,3,1.18,,39,Kitchen&utensils,34,87%,0.85,,39,4.33,0.96,,39,2.69,1.30,,33,4.39,1.00,,33,3.18,1.53,,33,3.30,1.42
greenolive,olive,greenolive,,,39,0,1,0,0%,3%,0%,38,olive,34,87%,89%,5,0.70,,37,Food,33,89%,0.58,,39,4.31,1.08,,39,1.97,0.93,,33,4.30,1.07,,33,3.76,1.37,,33,1.52,1.12
greenonion,echalotte,greenonion,,,37,0,2,0,0%,5%,0%,35,green onion,16,43%,46%,11,2.67,,38,Food,28,74%,0.83,,38,4.18,1.20,,38,2.26,1.13,,33,4.27,1.13,,33,3.27,1.42,,33,1.15,0.57
hairband,passe_a_cheveux,hairband,,,39,0,9,1,0%,23%,3%,29,hair band,15,38%,52%,7,1.94,,37,Skincare&bathroom items,12,32%,2.10,,37,3.84,1.42,,37,2.46,1.14,,33,3.39,1.27,,33,3.03,1.31,,33,2.70,1.51
hairclip02,barette02,hairclip02,,,38,1,3,1,3%,8%,3%,33,Hairclip,23,61%,70%,5,1.36,,35,Skincare&bathroom items,11,31%,2.59,,38,3.76,1.24,,38,2.71,1.18,,33,2.88,1.54,,33,2.64,1.50,,33,2.70,1.40
hairclip03,pince_a_cheveux,hairclip03,,,37,1,1,1,3%,3%,3%,34,hair clip,23,62%,68%,7,1.67,,37,Skincare&bathroom items,14,38%,2.20,,37,3.97,1.21,,37,2.43,1.09,,33,3.52,1.52,,33,3.79,1.36,,33,3.06,1.48
