FILENAME,Filename English v.2.1,Dataset,Name,Nb inputs,Fq DKO,Fq DKN,Fq  TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 2-resp,Nb category (answer1),Nb category (answer2),Nb category (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
anchor,anchor,BOSS-2014 (v.2),,42,1,1,0,2%,2%,0%,40,Anchor,37,88%,93%,3,0.45,,32,2,34,Outdoor activity & sport item,11,1,34%,35%,2.69,,41,4.2,1.05,,41,1.85,0.82,,32,3.81,1.15,,32,2.72,1.46,,34,2.32,1.34
pilgrimhat,ancienthat01,BOSS-2014 (v.2),,42,0,3,0,0%,7%,0%,39,hat,27,64%,69%,9,1.79,,33,1,34,Clothing,31,0,94%,91%,0.39,,42,3.57,1.17,,42,2.31,1.16,,32,2.78,1.43,,32,4.03,1.12,,34,2.74,1.29
colonialhat,ancienthat02,BOSS-2014 (v.2),,42,6,3,0,14%,7%,0%,33,hat,19,45%,58%,12,2.42,,32,1,33,Clothing,27,0,84%,82%,0.84,,41,2.98,1.31,,40,2.55,1.13,,,,,,,,,,30,2.03,1.27
flintlockpistol,ancientpistol,BOSS-2014 (v.2),,42,1,2,0,2%,5%,0%,39,gun,17,40%,44%,15,2.98,,33,1,34,War related weapon & item,31,1,94%,94%,0.39,,42,3.64,1.23,,42,2.83,1.19,,,,,,,,,,34,3.59,1.18
angelstatue,angelstatue,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,Angel statue,17,40%,41%,8,2.16,,33,0,33,Decoration & gift accessory,25,0,76%,76%,1.17,,42,3.57,1.11,,42,2.98,1.35,,,,,,,,,,34,1.62,1.04
ant,ant,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Ant,36,86%,86%,4,0.82,,33,0,33,Insect,33,0,100%,100%,0,,42,4.62,0.66,,42,2.67,1.54,,32,3.91,1.12,,32,3.47,1.41,,34,1.65,1.01
antelope,antelope,BOSS-2014 (v.2),,42,0,5,0,0%,12%,0%,37,antelope,12,29%,32%,8,2.3,,32,0,32,Mammal,30,0,94%,94%,0.4,,42,3.67,1.1,,42,2.95,1.36,,,,,,,,,,34,1.47,0.9
antenna,antenna,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Electronic device & accessory,29,0,88%,88%,0.78,,,,,,,,,,,,,,,,,,,,
antlers,antlers,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,Antlers,30,71%,73%,7,1.49,,32,9,41,Decoration & gift accessory,16,1,50%,41%,1.75,,42,4.02,0.92,,42,2.45,1.19,,32,4.34,1.04,,32,4.16,1.27,,34,1.97,1.19
apple07,apple07,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Food,32,0,97%,97%,0.2,,,,,,,,,,,,,,,,,,,,
