FILENAME,Filename English v.2.1,Dataset,Name,Nb inputs,Fq DKO,Fq DKN,Fq  TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Category 2-resp,Nb category (answer1),Nb category (answer2),Nb category (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value,Familiarity,Fam_Nb_inputs,Fam_Mean,Fam_StDev,Visual Complexity,Nb inputs,Mean,StDev,Object Agreement,Nb inputs,Mean,StDev,Viewpoint Agreement,Nb inputs,Mean,StDev,Manipulability,Nb inputs,Mean,StDev
corkboard,corkboard,BOSS-2014 (v.2),,42,0,3,2,0%,7%,5%,37,Cork board,12,29%,32%,12,2.81,,33,0,33,Stationary & school supply,24,0,73%,73%,1.51,,42,4.52,0.77,,42,1.69,0.81,,,,,,,,,,34,2.65,1.18
corkscrew03a,corkscrew03a,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Kitchen & utensil,23,1,70%,71%,1.16,,,,,,,,,,,,,,,,,,,,
cormorant,cormorant,BOSS-2014 (v.2),,42,2,4,2,5%,10%,5%,34,bird,19,45%,56%,9,2.08,,32,0,32,Bird,31,0,97%,97%,0.2,,42,3.21,1.02,,42,3.19,1.35,,,,,,,,,,34,1.56,0.99
corn02,corn02,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,corn,27,64%,64%,5,1.38,,33,0,33,Food,33,0,100%,100%,0,,42,4.81,0.63,,42,2.4,1.34,,32,4.16,1.14,,32,4.25,1.11,,34,3.15,1.4
cornet,cornet,BOSS-2014 (v.2),,42,1,4,2,2%,10%,5%,35,trumpet,14,33%,40%,13,3.01,,33,0,33,Musical instrument,31,0,94%,94%,0.39,,42,3.86,1.14,,42,2.95,1.15,,,,,,,,,,33,3.64,0.96
cottonpad,cottonpad,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Skincare & bathroom item,29,0,88%,85%,0.78,,,,,,,,,,,,,,,,,,,,
couch02,couch02,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Couch,21,50%,50%,5,1.75,,33,0,33,Furniture,32,0,97%,97%,0.2,,42,4.81,0.51,,42,2.12,0.99,,,,,,,,,,34,3.21,1.2
cougar,cougar,BOSS-2014 (v.2),,42,0,4,4,0%,10%,10%,34,Cougar,12,29%,35%,13,3.08,,33,0,33,Feline,26,0,79%,79%,1.04,,42,3.86,0.95,,42,3.29,1.37,,,,,,,,,,34,1.74,1.21
cow,cow,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,cow,39,93%,93%,2,0.37,,33,1,34,Mammal,33,0,100%,97%,0,,42,4.71,0.55,,42,2.9,1.39,,32,4.13,0.98,,32,3.94,1.22,,34,2.91,1.6
cowbell,cowbell,BOSS-2014 (v.2),,42,5,6,0,12%,14%,0%,31,flask,19,45%,61%,8,1.91,,32,1,33,Kitchen & utensil,6,0,19%,18%,3.18,,38,3.79,1.34,,40,2.3,0.99,,,,,,,,,,29,2.28,1.39
crab01,crab01,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,crab,40,95%,98%,2,0.17,,33,0,33,Crustacean,31,0,94%,94%,0.39,,42,4.12,1.04,,42,3.1,1.43,,32,3.78,0.94,,32,3.28,1.33,,34,1.79,1.15
cracker02,cracker02,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,31,0,31,Food,31,0,100%,100%,0,,,,,,,,,,,,,,,,,,,,
craneflower,craneflower,BOSS-2014 (v.2),,42,8,2,0,19%,5%,0%,32,flower,27,64%,84%,5,0.93,,33,0,33,Natural element,31,0,94%,94%,0.33,,42,3.24,1.39,,42,2.71,1.24,,31,2.68,1.56,,31,3.58,1.5,,33,1.55,1
woodencrate01,crate01,BOSS-2014 (v.2),,42,4,2,0,10%,5%,0%,36,box,13,31%,36%,8,2.46,,33,0,33,Furniture,20,0,61%,61%,1.79,,41,3.61,1.24,,41,1.71,0.9,,,,,,,,,,33,1.88,1.08
crayon,crayon,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,5,38,Stationary & school supply,20,5,61%,66%,1.12,,,,,,,,,,,,,,,,,,,,
cremebrulee,cremebrulee,BOSS-2014 (v.2),,42,14,2,1,33%,5%,2%,25,Crème brulee,18,43%,72%,6,1.48,,33,0,33,Food,31,0,94%,94%,0.39,,38,3.21,1.56,,39,2.64,1.16,,,,,,,,,,28,1.54,0.79
crocodile,crocodile,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Crocodile,20,48%,48%,4,1.36,,33,0,33,Reptile,32,0,97%,97%,0.2,,42,4.07,0.97,,42,3.17,1.45,,,,,,,,,,34,2.12,1.2
crocodileclips,crocodileclips,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,0,32,Electronic device & accessory,27,0,84%,84%,0.93,,,,,,,,,,,,,,,,,,34,1.97,1.38
croissant01,croissant01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Food,33,0,100%,100%,0,,,,,,,,,,,,,,,,,,,,
cross01,cross01,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,cross,37,88%,88%,5,0.76,,32,0,32,Decoration & gift accessory,16,0,50%,50%,1.75,,42,4.55,0.8,,42,1.38,0.66,,32,4.16,1.05,,32,3.94,1.32,,34,2.91,1.52
crosscountryboot,crosscountryskiboot,BOSS-2014 (v.2),,42,2,0,1,5%,0%,2%,39,shoe,18,43%,46%,10,2.62,,33,6,39,Clothing,17,1,52%,46%,1,,42,3.26,1.27,,42,2.4,1.01,,,,,,,,,,31,2.61,1.41
crosscountryski,crosscountryskis,BOSS-2014 (v.2),,42,0,3,0,0%,7%,0%,39,Skis,31,74%,79%,3,0.84,,33,2,35,Outdoor activity & sport item,31,0,94%,89%,0.39,,42,4.12,1.09,,42,2.07,1.05,,32,3.94,1.27,,32,4.06,1.34,,34,3.82,1.09
crowdcontrolstanchion,crowdcontrolstanchion,BOSS-2014 (v.2),,42,3,12,9,7%,29%,21%,18,Stanchion,2,5%,11%,16,3.95,,33,2,35,Building infrastructure,13,1,39%,40%,2.49,,41,4.2,1.12,,41,1.54,0.74,,,,,,,,,,34,1.97,0.97
crown,crown,BOSS-2014 (v.2),,42,0,0,1,0%,0%,2%,41,Crown,36,86%,88%,4,0.72,,33,3,36,Jewel & money,12,1,36%,36%,1.99,,42,4.43,1.04,,42,2.74,1.47,,32,4.06,1.05,,32,4.25,0.8,,34,3.44,1.19
cruiseship,cruiseboat,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,cruise ship,35,83%,83%,5,0.96,,33,0,33,Vehicle,29,0,88%,88%,0.78,,42,4.38,0.79,,42,3.74,1.58,,32,4.22,1.04,,32,3.69,1.35,,34,1.76,1.21
crumpledpaper,crumpledpaper,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Stationary & school supply,19,0,58%,58%,2.09,,,,,,,,,,,,,,,,,,,,
cucumber,cucumber,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Food,32,0,97%,97%,0.2,,,,,,,,,,,,,,,,,,,,
mug01,cup01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Kitchen & utensil,32,0,97%,97%,0.2,,,,,,,,,,,,,,,,,,,,
mug05,cup05,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Mug,21,50%,50%,4,1.72,,33,0,33,Kitchen & utensil,29,0,88%,88%,0.71,,42,4.88,0.33,,42,1.38,0.7,,,,,,,,,,34,3.82,1.17
officecabinet,cupboard,BOSS-2014 (v.2),,40,0,2,2,0%,5%,5%,36,Cabinet,13,33%,36%,12,2.69,,33,2,35,Building infrastructure,14,0,42%,40%,2.06,,40,4.33,0.8,,41,1.68,0.79,,,,,,,,,,34,2.5,1.24
cupcake,cupcake,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,cupcake,40,95%,95%,3,0.32,,33,0,33,Food,31,0,94%,94%,0.39,,42,4.81,0.45,,42,2.26,1.01,,32,4,1.19,,32,4.28,1.14,,34,2.41,1.33
curlingiron01a,curlingiron01a,BOSS-2014 (v.2),,42,1,1,0,2%,2%,0%,40,curling iron,19,45%,48%,8,2.09,,33,2,35,Skincare & bathroom item,21,1,64%,63%,1.59,,42,4.14,1.05,,42,2.38,1.17,,,,,,,,,,34,3.82,1.09
curtain,curtain,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,curtain,36,86%,86%,5,0.87,,33,0,33,Decoration & gift accessory,14,0,42%,42%,1.77,,42,4.76,0.66,,42,1.86,0.93,,30,3.77,1.48,,32,3.97,1.28,,34,2.79,1.27
cutlass,cutlass,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,sword,31,74%,74%,5,1.31,,32,2,34,War related weapon & item,27,0,84%,79%,0.78,,42,4.1,1.05,,42,2.21,0.98,,32,3.19,1.47,,32,3.69,1.4,,34,3.47,1.21
cuttingboard,cuttingboard,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,1,33,Kitchen & utensil,25,0,78%,76%,1.1,,,,,,,,,,,,,,,,,,,,
cuttingpliers02,cuttingpliers02,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Hand labour tool & accessory,33,0,100%,100%,0,,,,,,,,,,,,,,,,,,,,
cuttlefish,cuttlefish,BOSS-2014 (v.2),,42,3,6,0,7%,14%,0%,33,Squid,21,50%,64%,9,1.96,,33,0,33,Fish,15,0,45%,45%,2.07,,42,3.24,1.19,,42,3.36,1.38,,,,,,,,,,34,1.29,0.68
hihat,cymbals,BOSS-2014 (v.2),,42,3,7,2,7%,17%,5%,30,cymbals,7,17%,23%,14,3.35,,33,0,33,Musical instrument,33,0,100%,100%,0,,42,3.64,1.27,,42,2.69,1.24,,,,,,,,,,34,3.21,1.17
daddylonglegs,daddylonglegs,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,Spider,36,86%,88%,5,0.77,,33,0,33,Insect,33,0,100%,100%,0,,42,4.33,0.95,,42,2.57,1.38,,32,3.5,1.11,,32,3.78,1.07,,34,2.09,1.44
daffodil,daffodil,BOSS-2014 (v.2),,42,0,2,2,0%,5%,5%,38,flower,29,69%,76%,6,1.24,,33,1,34,Natural element,32,1,97%,97%,0.2,,42,3.86,1.07,,42,2.52,1.31,,32,3.25,1.46,,32,3.31,1.53,,34,2.06,1.18
daisy,daisy,BOSS-2014 (v.2),,42,0,1,2,0%,2%,5%,39,flower,18,43%,46%,5,1.53,,33,1,34,Natural element,32,1,97%,97%,0.2,,42,4.02,1,,42,2.57,1.31,,,,,,,,,,34,2.5,1.35
dalmatian,dalmation,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Dalmatian,30,71%,71%,3,1.15,,33,0,33,Canine,30,0,91%,91%,0.44,,42,4.55,0.71,,42,3,1.55,,32,4.06,1.19,,32,3.63,1.41,,34,2.76,1.35
dandelion,dandelion,BOSS-2014 (v.2),,42,1,3,0,2%,7%,0%,38,dandelion,23,55%,61%,4,1.33,,33,1,34,Natural element,32,0,97%,94%,0.2,,42,4.12,0.99,,42,2.79,1.41,,30,3.7,1.24,,32,2.5,1.19,,33,2.12,1.24
dartboard,dartboard,BOSS-2014 (v.2),,42,0,4,0,0%,10%,0%,38,dart board,38,90%,100%,1,0,,33,1,34,Gamestoy & entertainment,29,0,88%,85%,0.71,,41,4.46,0.87,,41,2.76,1.26,,32,4.41,0.84,,32,4.28,1.05,,34,3.74,1.19
date,date,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Food,32,0,97%,97%,0.2,,,,,,,,,,,,,,,,,,34,1.47,0.79
patiochair,deckchair,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,chair,28,67%,67%,6,1.53,,32,1,33,Furniture,31,0,97%,94%,0.2,,42,4.6,0.66,,42,1.88,0.83,,32,2.81,1.42,,32,3.75,1.39,,34,3.47,1.26
patioumbrella,deckumbrella,BOSS-2014 (v.2),,42,0,3,5,0%,7%,12%,34,umbrella,18,43%,53%,8,2.2,,33,0,33,Outdoor activity & sport item,14,0,42%,42%,1.85,,42,4.38,0.91,,42,2.05,0.96,,,,,,,,,,34,3.29,1.27
walldeco01,decor01,BOSS-2014 (v.2),,42,3,3,0,7%,7%,0%,36,Branches,8,19%,22%,20,3.79,,33,2,35,Decoration & gift accessory,29,0,88%,83%,0.71,,40,3.78,1.19,,40,2.65,1.31,,,,,,,,,,34,1.35,0.88
dentalfloss03b,dentalfloss03b,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Skincare & bathroom item,30,0,91%,91%,0.58,,,,,,,,,,,,,,,,,,,,
deodorant02a,deodorant02a,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Skincare & bathroom item,31,0,94%,94%,0.39,,,,,,,,,,,,,,,,,,,,
desk02,desk02,BOSS-2014 (v.2),,42,0,1,1,0%,2%,2%,40,desk,20,48%,50%,11,2.41,,33,1,34,Furniture,29,0,88%,85%,0.78,,42,4.52,0.77,,42,2.6,1.04,,,,,,,,,,34,2.26,1.36
officechair01,deskchair01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Furniture,30,0,91%,91%,0.52,,,,,,,,,,,,,,,,,,,,
officechair03,deskchair03,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Office chair,15,36%,36%,9,2.31,,33,0,33,Furniture,31,0,94%,94%,0.39,,42,4.67,0.69,,42,2.26,1.06,,,,,,,,,,34,3.47,1.11
desktopcomputer,desktopcomputer,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,computer,28,67%,67%,10,1.86,,33,1,34,Electronic device & accessory,33,0,100%,97%,0,,42,4.88,0.4,,42,2.86,1.37,,32,3.69,1.26,,32,3.81,1.33,,34,4.24,0.99
diaper01c,diaper01c,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Clothing,16,1,48%,50%,1.51,,,,,,,,,,,,,,,,,,,,
diaperbag,diaperbag,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,Bag,15,36%,37%,14,3.11,,31,1,32,Outdoor activity & sport item,11,0,35%,34%,2.53,,42,4.19,0.94,,42,2.17,1.08,,,,,,,,,,34,2.62,1.26
dice05a,dice05a,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Gamestoy & entertainment,31,0,94%,94%,0.33,,,,,,,,,,,,,,,,,,,,
discoball,discoball,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,disco ball,39,93%,93%,4,0.48,,33,1,34,Decoration & gift accessory,25,0,76%,74%,0.8,,42,4.55,0.8,,42,2.6,1.43,,32,4.38,0.94,,32,3.88,1.24,,34,2.44,1.35
dishrack,dishrack,BOSS-2014 (v.2),,42,10,9,2,24%,21%,5%,21,Dish rack,8,19%,38%,5,1.88,,32,0,32,Kitchen & utensil,18,0,56%,56%,2.03,,39,3.28,1.41,,41,2.63,1.22,,,,,,,,,,30,2.1,1.18
dishsoap,dishsoap,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Household article & cleaner,24,1,73%,74%,0.98,,,,,,,,,,,,,,,,,,,,
divider02,divider02,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Stationary & school supply,31,0,94%,94%,0.39,,,,,,,,,,,,,,,,,,,,
djmixer01,djsoundboard,BOSS-2014 (v.2),,41,3,3,2,7%,7%,5%,33,Turntable,8,20%,24%,24,4.17,,33,5,38,Electronic device & accessory,16,2,48%,47%,1.53,,41,3.73,1.28,,41,3.32,1.39,,,,,,,,,,33,3.67,1.41
dogsled,dogsled,BOSS-2014 (v.2),,42,0,3,0,0%,7%,0%,39,Dog sled,23,55%,59%,10,2.15,,33,14,47,Vehicle,19,3,58%,47%,1.73,,42,3.76,1.05,,42,3.29,1.35,,18,3.39,1.14,,18,3.39,1.5,,34,2.59,1.33
doll,doll,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,2,35,Gamestoy & entertainment,31,1,94%,91%,0.39,,,,,,,,,,,,,,,,,,,,
dolphin01,dolphin01,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,dolphin,41,98%,98%,2,0.16,,33,0,33,Sea mammal,25,0,76%,76%,1.11,,42,4.48,0.77,,42,2.83,1.41,,32,4.41,0.95,,31,3.77,1.31,,34,1.82,1.09
donut,donut,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Doughnut,40,95%,95%,2,0.28,,33,0,33,Food,33,0,100%,100%,0,,42,4.74,0.63,,42,1.71,0.89,,32,3.88,1.18,,32,3.69,1.35,,34,2.56,1.28
doubledoors,door01,BOSS-2014 (v.2),,42,0,2,0,0%,5%,0%,40,Doors,22,52%,55%,7,1.99,,33,1,34,Building infrastructure,19,0,58%,56%,1.53,,42,4.45,0.74,,42,2.21,1.05,,18,2.89,1.32,,18,3.78,1.52,,34,3.09,1.19
doorhandle,doorknob01,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Door handle,21,50%,50%,5,1.41,,32,1,33,Building material,17,0,53%,52%,1.86,,41,4.78,0.52,,41,2.02,1.11,,,,,,,,,,34,4.03,1.06
doorlock,doorlock,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Building material,15,0,45%,44%,1.95,,,,,,,,,,,,,,,,,,,,
springdoorstop,doorstopper,BOSS-2014 (v.2),,42,2,9,3,5%,21%,7%,28,Door stop,12,29%,43%,6,1.91,,33,1,34,Building material,17,0,52%,50%,1.73,,42,4.4,0.86,,42,2.14,1.05,,,,,,,,,,33,2,1.15
dormer,dormer,BOSS-2014 (v.2),,42,0,3,0,0%,7%,0%,39,window,32,76%,82%,8,1.18,,32,0,32,Building infrastructure,29,0,91%,91%,0.45,,42,4.5,0.8,,42,2.45,1.09,,32,2.81,1.45,,32,3.13,1.5,,34,2.56,1.37
doublebass,doublebass,BOSS-2014 (v.2),,42,0,0,6,0%,0%,14%,36,Cello,17,40%,47%,9,2.35,,33,0,33,Musical instrument,33,0,100%,100%,0,,42,4,0.99,,42,2.79,1.14,,,,,,,,,,34,4.09,0.79
downhillski,downhillskis,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,skis,35,83%,83%,7,1.07,,33,1,34,Outdoor activity & sport item,32,0,97%,94%,0.2,,42,4.17,1.06,,42,2.05,0.88,,32,3.94,1.01,,32,3.66,1.33,,34,3.97,1.11
dragonfly01,dragonfly01,BOSS-2014 (v.2),,42,0,2,2,0%,5%,5%,38,Dragon fly,29,69%,76%,7,1.38,,33,0,33,Insect,32,0,97%,97%,0.2,,42,4.12,0.97,,42,3.26,1.42,,32,4.03,1.15,,32,3.28,1.4,,34,1.74,0.99
manholecover,drain,BOSS-2014 (v.2),,42,0,2,3,0%,5%,7%,37,Sewer,7,17%,19%,14,3.44,,32,0,32,Building infrastructure,24,0,75%,75%,1.35,,42,4.34,1.04,,42,2.02,0.84,,,,,,,,,,34,2.06,1.15
gutteranddrainpipe,drainpipe02,BOSS-2014 (v.2),,42,0,10,7,0%,24%,17%,25,Gutter,8,19%,32%,15,3.41,,33,1,34,Building infrastructure,22,0,67%,65%,1.21,,41,4.24,0.83,,41,2.07,0.91,,,,,,,,,,33,1.7,0.98
dreamcatcher,dreamcatcher,BOSS-2014 (v.2),,42,1,0,0,2%,0%,0%,41,dream catcher,38,90%,93%,4,0.49,,33,2,35,Decoration & gift accessory,30,1,91%,89%,0.58,,42,4.05,1.17,,42,2.64,1.23,,32,4.22,1.07,,32,4.44,1.05,,34,1.88,1.15
dresser02,dresser02,BOSS-2014 (v.2),,42,0,0,1,0%,0%,2%,41,Dresser,20,48%,49%,10,2.34,,33,0,33,Furniture,33,0,100%,100%,0,,42,4.55,0.59,,42,2.19,0.92,,,,,,,,,,34,2.82,1.24
drill01b,drill01b,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Hand labour tool & accessory,30,0,91%,88%,0.58,,,,,,,,,,,,,,,,,,,,
drillbit03a,drillbit03a,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,1,33,Hand labour tool & accessory,24,1,75%,76%,1.01,,,,,,,,,,,,,,,,,,,,
drink,drink,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,drink,11,26%,27%,18,3.42,,33,0,33,Food,32,0,97%,97%,0.2,,42,4.1,1.12,,42,1.9,1.01,,,,,,,,,,34,3.06,1.32
dromedary,dromedary,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,camel,41,98%,98%,2,0.16,,33,0,33,Mammal,33,0,100%,100%,0,,42,4.21,0.98,,42,2.71,1.57,,32,4,1.05,,32,3.75,1.32,,34,2.18,1.42
dropper01,dropper01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Medical instrument & accessory,25,1,76%,76%,1.11,,,,,,,,,,,,,,,,,,,,
drum01,drum01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,0,32,Musical instrument,31,0,97%,97%,0.2,,,,,,,,,,,,,,,,,,,,
drumset,drumset,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Drum set,27,64%,64%,3,1.29,,33,0,33,Musical instrument,32,0,97%,97%,0.2,,42,4.71,0.51,,42,2.95,1.31,,32,3.75,1.37,,32,3.22,1.58,,34,4.29,1.03
drumstick,drumsticks,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,drum sticks,39,93%,95%,3,0.33,,33,0,33,Musical instrument,30,0,91%,91%,0.58,,42,4.55,0.74,,42,1.57,0.86,,32,3.91,1.42,,32,3.88,1.43,,34,3.97,1.09
dryingmachine02,dryingmachine02,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,washing machine,21,50%,50%,10,2.34,,32,0,32,Household article & cleaner,16,0,50%,50%,1.9,,42,4.64,0.66,,42,2.57,1.31,,,,,,,,,,34,2.76,1.26
nintendods,ds,BOSS-2014 (v.2),,42,0,1,0,0%,2%,0%,41,Nintendo ds,18,43%,44%,11,2.23,,33,4,37,Electronic device & accessory,24,1,73%,68%,1.05,,42,4.26,0.96,,42,2.36,1.1,,,,,,,,,,34,3.09,1.19
duck01,duck01,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,duck,34,81%,81%,4,1,,32,0,32,Bird,32,0,100%,100%,0,,42,4.31,0.84,,42,3,1.45,,32,3.84,1.11,,32,3.47,1.22,,34,1.85,1.31
ducttape,ducttape,BOSS-2014 (v.2),,42,1,0,0,2%,0%,0%,41,Duct tape,30,71%,73%,5,1.18,,32,1,33,Hand labour tool & accessory,18,0,56%,55%,1.54,,42,4.55,0.86,,42,1.79,1.05,,32,4.13,1.18,,32,3.78,1.41,,34,2.97,1.22
dumpling,dumpling,BOSS-2014 (v.2),,42,18,5,0,43%,12%,0%,19,Dumpling,7,17%,37%,12,3.11,,32,1,33,Food,16,1,50%,52%,2.17,,38,2.39,1.53,,40,2.5,1.38,,,,,,,,,,25,1.52,0.96
dumptruck,dumptruck,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,truck,21,50%,50%,5,1.49,,33,1,34,Vehicle,33,0,100%,97%,0,,42,4.5,0.77,,42,3.21,1.35,,,,,,,,,,34,2.38,1.26
castletower,dungeon,BOSS-2014 (v.2),,42,0,2,1,0%,5%,2%,39,Castle tower,17,40%,44%,7,2.17,,33,0,33,Building infrastructure,32,0,97%,97%,0.2,,42,3.76,1.23,,42,2.74,1.13,,,,,,,,,,33,1.55,0.87
dustpan,dustpan,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,1,34,Household article & cleaner,25,1,76%,76%,1.14,,,,,,,,,,,,,,,,,,,,
dvdcase,dvdbox,BOSS-2014 (v.2),,42,1,1,1,2%,2%,2%,39,DVD case,14,33%,36%,10,2.46,,33,3,36,Electronic device & accessory,19,0,58%,53%,1.67,,42,4.43,0.91,,42,2,1.04,,,,,,,,,,34,2.47,1.33
dvdplayer,dvdplayer,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,3,35,Electronic device & accessory,27,0,84%,77%,0.78,,,,,,,,,,,,,,,,,,,,
eagle,eagle,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,eagle,28,67%,67%,6,1.61,,33,0,33,Bird,33,0,100%,100%,0,,42,4.33,1.05,,42,3.19,1.45,,32,4.16,1.08,,32,2.38,1.41,,34,1.97,1.11
ear,ear,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,ear,35,83%,83%,2,0.65,,33,0,33,Bodypart,32,0,97%,97%,0.2,,42,4.95,0.22,,42,2.43,1.52,,32,4.41,0.95,,32,4.28,1.05,,34,3.88,1.41
earring01,earrings01,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,32,0,32,Jewel & money,21,0,66%,66%,1.31,,,,,,,,,,,,,,,,,,,,
egg01a,egg01a,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,4,37,Food,30,1,91%,84%,0.52,,,,,,,,,,,,,,,,,,,,
eggnoodle,eggnoodles,BOSS-2014 (v.2),,41,0,3,0,0%,7%,0%,38,pasta,14,34%,37%,11,2.85,,33,0,33,Food,33,0,100%,100%,0,,41,4.24,1.04,,41,1.93,0.98,,,,,,,,,,33,2.21,1.29
eggplant,eggplant,BOSS-2010 (v.1),,,,,,,,,,,,,,,,,33,0,33,Food,31,0,94%,94%,0.39,,,,,,,,,,,,,,,,,,,,
eggslicer,eggslicer,BOSS-2014 (v.2),,42,8,2,1,19%,5%,2%,31,Egg slicer,8,19%,26%,16,3.64,,33,0,33,Kitchen & utensil,28,0,85%,85%,0.9,,41,3.29,1.47,,41,2.54,1.19,,,,,,,,,,34,2.03,1.17
eiffeltower,eiffeltower,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Eiffel tower,40,95%,95%,3,0.32,,33,1,34,Building infrastructure,32,0,97%,94%,0.2,,42,4.62,0.73,,42,3.29,1.44,,32,4.56,0.84,,32,4.38,1.04,,34,1.82,1.03
elbow,elbow,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,elbow,36,86%,86%,4,0.77,,32,0,32,Bodypart,29,0,91%,91%,0.45,,42,4.9,0.37,,42,1.88,1.23,,32,4.09,1.15,,32,3.75,1.41,,34,3.44,1.56
baseboardheater01,electricbaseboardheater01,BOSS-2014 (v.2),,42,7,0,2,17%,0%,5%,33,heater,14,33%,42%,16,3.19,,32,1,33,Building infrastructure,9,0,28%,27%,2.62,,40,3.7,1.3,,41,2.39,1.05,,,,,,,,,,29,1.72,1.07
electricdrumset,electricdrumset,BOSS-2014 (v.2),,42,0,5,2,0%,12%,5%,35,Drum set,9,21%,26%,12,3.09,,33,6,39,Musical instrument,29,3,88%,82%,0.71,,42,3.79,1.24,,42,3.14,1.26,,,,,,,,,,34,3.26,1.19
electricguitar01,electricguitar01,BOSS-2014 (v.2),,42,0,0,0,0%,0%,0%,42,Electric Guitar,26,62%,62%,3,1.09,,33,0,33,Musical instrument,33,0,100%,100%,0,,42,4.5,0.77,,42,2.64,1.25,,32,4.13,1.01,,32,2.91,1.4,,34,4.47,0.66
electricitymeter,electricmeter,BOSS-2014 (v.2),,41,5,8,4,12%,20%,10%,24,Hydro meter,7,17%,29%,12,3.18,,32,3,35,Building infrastructure,19,0,59%,54%,1.65,,39,3.46,1.41,,40,2.75,1.08,,,,,,,,,,33,1.58,1
