,ABT1overall,ABT2overall,DistALL_1,DistALL_2,DistALL_3,DistALL_4,DistALL_5,DistALL_6,DistALL_UVSD_d,DistALL_UVSD_s,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_UVSD_d,Dist_UVSD_s,L1blink_1,L1blink_2,L1blink_3,L1blink_4,L1blink_5,L1blink_6,L1blink_UVSD_d,L1blink_UVSD_s,L1cor_1,L1cor_2,L1cor_3,L1cor_4,L1cor_5,L1cor_6,L1cor_UVSD_d,L1cor_UVSD_s,L5_1,L5_2,L5_3,L5_4,L5_5,L5_6,L5_UVSD_d,L5_UVSD_s,Lag1_T1A_T2A_T1,Lag1_T1A_T2A_T2,Lag1_T1A_T2A_T2_T1,Lag1_T1A_T2P_T1,Lag1_T1A_T2P_T2,Lag1_T1A_T2P_T2_T1,Lag1_T1P_T2A_T1,Lag1_T1P_T2A_T2,Lag1_T1P_T2A_T2_T1,Lag1_T1P_T2P_T1,Lag1_T1P_T2P_T2,Lag1_T1P_T2P_T2_T1,Lag5_T1A_T2A_T1,Lag5_T1A_T2A_T2,Lag5_T1A_T2A_T2_T1,Lag5_T1A_T2P_T1,Lag5_T1A_T2P_T2,Lag5_T1A_T2P_T2_T1,Lag5_T1P_T2A_T1,Lag5_T1P_T2A_T2,Lag5_T1P_T2A_T2_T1,Lag5_T1P_T2P_T1,Lag5_T1P_T2P_T2,Lag5_T1P_T2P_T2_T1,NovALL_1,NovALL_2,NovALL_3,NovALL_4,NovALL_5,NovALL_6,Nov_1,Nov_2,Nov_3,Nov_4,Nov_5,Nov_6,PP1T2_mem,PP1blink_mem,PP1cor_mem,PP1miss_mem,PP5cor_mem,T1Overall,T2Overall,TargALL_1,TargALL_2,TargALL_3,TargALL_4,TargALL_5,TargALL_6,TargALL_UVSD_d,TargALL_UVSD_s,blinkFam,distMem,distracter_mem,nonBlinkFam,novel_mem,targMem,blinkMag
2022-06-28_15h27.56.947,0.7973856209150327,0.7679738562091504,15.0,12.0,4.0,9.0,4.0,8.0,0.7260938810217765,1.1304717868221563,15.0,12.0,4.0,9.0,4.0,8.0,0.7265538820567352,1.1353200625589175,4.0,3.0,2.0,2.0,3.0,10.0,1.4158107014120749,1.3917679712571072,9.0,7.0,1.0,6.0,8.0,14.0,1.2303836594343593,1.3153336234284307,13.0,9.0,4.0,7.0,7.0,9.0,0.8696895796671498,1.1832469790905245,1.0,1.0,1.0,1.0,0.6785714285714286,0.6785714285714286,0.8571428571428571,0.8928571428571429,0.875,0.8160919540229885,0.6551724137931034,0.647887323943662,1.0,0.9,0.9,0.8620689655172413,0.5517241379310345,0.52,0.4642857142857143,0.8214285714285714,0.8461538461538461,0.7325581395348837,0.8837209302325582,0.8888888888888888,95.0,58.0,11.0,7.0,7.0,7.0,95.0,58.0,11.0,7.0,7.0,7.0,0.09090909090909091,0.625,0.6222222222222222,0.0,0.59375,0.5981308411214953,0.5154639175257731,36.0,23.0,8.0,16.0,18.0,33.0,0.9468833698143742,1.3884489853260302,4.5124,0.7805907172995781,0.40384615384615385,4.497111111111112,0.8864864864864865,0.7516556291390728,0.24100156494522684
2022-06-28_16h39.33.399,0.9215686274509803,0.7222222222222222,7.0,4.0,8.0,1.0,1.0,31.0,2.0144685388686705,2.0489157231701762,7.0,4.0,8.0,1.0,1.0,31.0,2.0263211892478883,2.0649431038790125,3.0,7.0,4.0,4.0,4.0,23.0,1.6933663302006106,1.3694057696254678,2.0,9.0,7.0,4.0,1.0,14.0,1.286429213749652,1.1304742000723067,8.0,8.0,6.0,7.0,1.0,19.0,1.265336786777366,1.50010109014716,1.0,1.0,1.0,0.9642857142857143,0.6785714285714286,0.7037037037037037,0.8571428571428571,0.9285714285714286,0.9166666666666666,0.9655172413793104,0.47126436781609193,0.4523809523809524,0.8,1.0,1.0,1.0,0.5517241379310345,0.5517241379310345,0.7857142857142857,0.9285714285714286,0.9090909090909091,0.9069767441860465,0.8488372093023255,0.8589743589743589,78.0,54.0,37.0,9.0,0.0,7.0,78.0,54.0,37.0,9.0,0.0,7.0,0.0,0.6888888888888889,0.5135135135135135,,0.6486486486486487,0.6111111111111112,0.5357142857142857,15.0,24.0,18.0,15.0,6.0,56.0,1.4265661440505926,1.4037597150671088,4.467555555555556,0.8523206751054853,0.6346153846153846,4.534736842105263,0.9135135135135135,0.7915309446254072,0.40659340659340654
2022-06-29_09h00.40.945,0.826797385620915,0.7941176470588235,4.0,0.0,1.0,0.0,6.0,41.0,2.2210932979993374,1.313795036257096,4.0,0.0,1.0,0.0,6.0,41.0,2.2057354277339476,1.299711815368091,1.0,0.0,0.0,0.0,0.0,4.0,1.2740388103367897,1.0697077271406288,17.0,5.0,2.0,6.0,8.0,33.0,1.2421716159966079,1.2331715040481128,17.0,6.0,2.0,3.0,5.0,16.0,0.832936775557346,1.1504445990893402,0.8,0.6,0.5,0.7142857142857143,0.8928571428571429,0.85,0.75,0.35714285714285715,0.2857142857142857,0.896551724137931,0.9195402298850575,0.9358974358974359,0.6,0.4,0.3333333333333333,0.6206896551724138,0.8620689655172413,0.8888888888888888,0.8214285714285714,0.4642857142857143,0.43478260869565216,0.9186046511627907,0.9302325581395349,0.9493670886075949,119.0,21.0,9.0,14.0,7.0,15.0,119.0,21.0,9.0,14.0,7.0,15.0,0.42857142857142855,0.8,0.6619718309859155,0.5,0.46511627906976744,0.6065573770491803,0.5873015873015873,39.0,12.0,4.0,10.0,15.0,54.0,1.0728337220151931,1.3033565244636571,4.614,0.8270042194092827,0.9038461538461539,4.478333333333333,0.8054054054054054,0.7156549520766773,0.013469652710158986
2022-06-29_10h01.10.225,0.8790849673202614,0.6928104575163399,0.0,19.0,9.0,10.0,1.0,13.0,0.9295561410209859,1.4640863130933754,0.0,19.0,9.0,10.0,1.0,13.0,0.947298146483414,1.4927581029525188,0.0,4.0,2.0,1.0,2.0,18.0,2.518926977240253,2.3246390315999377,0.0,6.0,8.0,6.0,1.0,29.0,2.205389250684986,1.8952189065747818,0.0,8.0,7.0,8.0,2.0,24.0,1.864452997862648,1.7423846114054526,0.9,1.0,1.0,1.0,0.5,0.5,0.8214285714285714,0.9285714285714286,0.9130434782608695,0.9080459770114943,0.6436781609195402,0.6455696202531646,1.0,1.0,1.0,1.0,0.4482758620689655,0.4482758620689655,0.7142857142857143,1.0,1.0,0.8255813953488372,0.6395348837209303,0.647887323943662,9.0,95.0,64.0,13.0,1.0,3.0,9.0,95.0,64.0,13.0,1.0,3.0,0.6,0.7777777777777778,0.72,0.0,0.7142857142857143,0.7394957983193278,0.6931818181818182,0.0,20.0,20.0,17.0,5.0,72.0,2.0638810918835104,1.730566070385224,4.489629629629629,0.810126582278481,0.46153846153846156,4.491960784313725,0.9081081081081082,0.8322147651006712,0.0023177036904974413
2022-06-29_10h58.31.945,0.9183006535947712,0.869281045751634,22.0,4.0,1.0,3.0,12.0,10.0,1.4220147136900563,0.7205259933713469,22.0,4.0,1.0,3.0,12.0,10.0,1.4214609223814905,0.7161325908056592,2.0,1.0,1.0,0.0,0.0,3.0,1.6121555630122462,0.6314912377492492,39.0,6.0,2.0,6.0,2.0,16.0,1.1388542984387757,1.0560208007331477,21.0,5.0,3.0,6.0,3.0,11.0,1.3817337303442097,0.7413278005515462,1.0,0.9,0.9,0.9642857142857143,0.9285714285714286,0.9259259259259259,0.8928571428571429,0.8214285714285714,0.8,0.9195402298850575,0.9080459770114943,0.9125,1.0,0.7,0.7,0.9655172413793104,0.7586206896551724,0.75,0.75,0.9285714285714286,0.9047619047619048,0.9302325581395349,0.8604651162790697,0.85,168.0,5.0,4.0,3.0,1.0,4.0,168.0,5.0,4.0,3.0,1.0,4.0,0.16666666666666666,0.42857142857142855,0.3380281690140845,0.0,0.4444444444444444,0.3821138211382114,0.35294117647058826,68.0,12.0,6.0,13.0,5.0,30.0,1.2073515384484292,0.9740975183048375,4.451428571428571,0.8523206751054853,0.4807692307692308,4.500972222222222,0.9567567567567568,0.7222222222222222,-0.0625
2022-06-29_12h25.08.771,0.8529411764705882,0.8202614379084967,7.0,2.0,2.0,4.0,7.0,30.0,1.1443040584661026,0.9627393439404395,7.0,2.0,2.0,4.0,7.0,30.0,1.1402856506803654,0.954356214814962,4.0,2.0,2.0,3.0,3.0,15.0,0.9469379467834728,0.8360339841472861,6.0,3.0,1.0,3.0,5.0,24.0,1.1008914867928006,0.9812227376371664,7.0,2.0,2.0,1.0,14.0,23.0,0.9669236428084341,0.7656661333264824,0.9,1.0,1.0,0.8928571428571429,0.75,0.76,0.75,0.8928571428571429,0.9047619047619048,0.8390804597701149,0.632183908045977,0.6027397260273972,1.0,0.9,0.9,0.9655172413793104,0.7931034482758621,0.7857142857142857,0.7142857142857143,1.0,1.0,0.872093023255814,0.9302325581395349,0.9333333333333333,99.0,27.0,8.0,7.0,16.0,28.0,99.0,27.0,8.0,7.0,16.0,28.0,0.5454545454545454,0.7241379310344828,0.7619047619047619,0.3333333333333333,0.8717948717948718,0.7787610619469026,0.75,23.0,8.0,5.0,10.0,24.0,64.0,0.989416951526166,0.9272717859519313,4.537931034482758,0.7383966244725738,0.7884615384615384,4.471860465116279,0.7243243243243244,0.7378640776699029,0.3305936073059361
2022-06-29_13h55.44.897,0.8594771241830066,0.7026143790849673,18.0,9.0,6.0,5.0,2.0,12.0,0.7750002494555591,1.0933492845718558,18.0,9.0,6.0,5.0,2.0,12.0,0.775001303884217,1.097931237743016,7.0,1.0,1.0,1.0,2.0,13.0,1.4598314694506989,1.7176522413630573,15.0,4.0,2.0,2.0,4.0,25.0,1.4147458512034499,1.847190563848876,13.0,7.0,3.0,5.0,6.0,15.0,1.0580401594821651,1.1143887384750952,0.9,0.4,0.4444444444444444,0.9642857142857143,0.8571428571428571,0.8518518518518519,0.7857142857142857,0.5714285714285714,0.6363636363636364,0.9080459770114943,0.6781609195402298,0.6708860759493671,1.0,0.1,0.1,0.9310344827586207,0.7586206896551724,0.7777777777777778,0.7142857142857143,0.4642857142857143,0.5,0.8023255813953488,0.8837209302325582,0.8695652173913043,116.0,34.0,12.0,9.0,4.0,10.0,116.0,34.0,12.0,9.0,4.0,10.0,0.3333333333333333,0.64,0.5961538461538461,0.0,0.59375,0.6173913043478261,0.5490196078431373,38.0,13.0,8.0,9.0,12.0,54.0,1.229551683017409,1.5501260294587798,4.557307692307692,0.7637130801687764,0.36538461538461536,4.49326923076923,0.8756756756756757,0.7615894039735099,0.1986791414419372
2022-06-29_16h26.54.527,0.803921568627451,0.6274509803921569,1.0,14.0,6.0,2.0,8.0,21.0,1.5818891479376966,1.3606863180945215,1.0,14.0,6.0,2.0,8.0,21.0,1.594463577234641,1.3779956199993342,2.0,5.0,3.0,4.0,7.0,20.0,1.9028846182503534,1.5308577257699207,2.0,8.0,4.0,3.0,9.0,6.0,1.1687679643609035,1.138358497957595,4.0,21.0,1.0,5.0,6.0,12.0,1.0011979659427275,1.365963313140509,0.9,0.8,0.7777777777777778,0.9285714285714286,0.5714285714285714,0.5769230769230769,0.6785714285714286,0.8571428571428571,0.8421052631578947,0.8505747126436781,0.47126436781609193,0.43243243243243246,0.9,0.9,0.8888888888888888,0.9655172413793104,0.5862068965517241,0.6071428571428571,0.6428571428571429,0.8214285714285714,0.7777777777777778,0.7325581395348837,0.627906976744186,0.6507936507936508,53.0,85.0,29.0,6.0,10.0,2.0,53.0,85.0,29.0,6.0,10.0,2.0,0.4444444444444444,0.7560975609756098,0.5625,0.0,0.5454545454545454,0.6111111111111112,0.5342465753424658,10.0,38.0,10.0,13.0,24.0,39.0,1.284232091799644,1.3666820577883891,4.520487804878049,0.8354430379746836,0.5961538461538461,4.4725,0.9027027027027027,0.7945205479452054,0.21836121836121836
2022-06-30_09h08.37.319,0.9150326797385621,0.8202614379084967,12.0,3.0,7.0,3.0,1.0,26.0,1.6815943063749796,1.1239644025155617,12.0,3.0,7.0,3.0,1.0,26.0,1.6866080855874714,1.1383103662960865,8.0,0.0,2.0,2.0,1.0,9.0,1.414649968366791,1.159094797774518,24.0,2.0,3.0,2.0,0.0,26.0,1.3937752604840996,2.1868598357527165,14.0,0.0,5.0,3.0,1.0,26.0,1.773722920741399,1.5044223735264342,1.0,0.9,0.9,0.9642857142857143,0.7857142857142857,0.7777777777777778,0.8571428571428571,0.9642857142857143,0.9583333333333334,0.9310344827586207,0.735632183908046,0.7283950617283951,1.0,1.0,1.0,0.9310344827586207,0.6896551724137931,0.6666666666666666,0.8571428571428571,0.9285714285714286,0.9166666666666666,0.8953488372093024,0.8488372093023255,0.8701298701298701,150.0,16.0,11.0,0.0,0.0,8.0,150.0,16.0,11.0,0.0,0.0,8.0,0.0,0.5454545454545454,0.49122807017543857,0.0,0.6571428571428571,0.5691056910569106,0.5148514851485149,50.0,3.0,11.0,7.0,2.0,61.0,1.5140088149846644,1.9366014252685764,4.547142857142857,0.8734177215189873,0.5769230769230769,4.48271186440678,0.9567567567567568,0.7868852459016393,0.141734808401475
2022-06-30_10h36.41.165,0.9215686274509803,0.7908496732026143,10.0,11.0,1.0,12.0,4.0,14.0,1.0749933259118012,0.9188497992446335,10.0,11.0,1.0,12.0,4.0,14.0,1.0752664883439012,0.915845680502789,3.0,1.0,0.0,2.0,6.0,13.0,1.6348295824416497,1.062772164660061,12.0,5.0,5.0,8.0,7.0,17.0,1.1684477664086417,1.0582058792836977,13.0,4.0,1.0,3.0,7.0,21.0,1.3578507833647118,1.539365356733378,1.0,1.0,1.0,1.0,0.8214285714285714,0.8214285714285714,0.8928571428571429,0.9642857142857143,0.96,0.9310344827586207,0.6896551724137931,0.6790123456790124,1.0,0.9,0.9,0.9655172413793104,0.6551724137931034,0.6785714285714286,0.6785714285714286,0.8571428571428571,0.8947368421052632,0.9418604651162791,0.813953488372093,0.8271604938271605,116.0,39.0,2.0,10.0,10.0,8.0,116.0,39.0,2.0,10.0,10.0,8.0,0.2,0.84,0.5925925925925926,0.0,0.6923076923076923,0.6854838709677419,0.6039603960396039,33.0,10.0,6.0,14.0,20.0,51.0,1.308118583520125,1.3644475856791212,4.478076923076923,0.7890295358649789,0.5769230769230769,4.499090909090909,0.8486486486486486,0.7702265372168284,0.14814814814814814
