trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,stimOFF0,stimON0,stimOFF1,stimON1,stimOFF2,stimON2,stimOFF3,stimON3,stimOFF4,stimON4,stimOFF5,stimON5,stimOFF6,stimON6,stimOFF7,stimON7,stimOFF8,stimON8,stimOFF9,stimON9,stimOFF10,stimON10,stimOFF11,stimON11,stimOFF12,stimON12,stimOFF13,stimON13,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,stimOFF14,stimON14,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,9,9,8,,,,,,,,,,,smokingpipe.jpg,firehydrant.jpg,shower.jpg,cobra.jpg,horse.jpg,bench01.jpg,punchingbag.jpg,parkfountain.jpg,kiwi03.jpg,ladder.jpg,mouse.jpg,saxophone.jpg,chair.jpg,dartboard.jpg,windshieldwiper02.jpg,cymbal.jpg,electrictoothbrush01c.jpg,113.42222140000013,116.1724221999998,115.88873319999993,None,1,1,13,116.40573929999982,None,116.40573929999982,None,.\resources\mouse.jpg,119.90507810000008,None,1,119.90507810000008,None,left,0.9837892000000465,119.90507810000008,None,120.92167740000014,None,1,left,0.22318600000016886,120.92167740000014,None,120.92167740000014,None,121.18833249999989,None,None,122.18824511999983,None,122.18824511999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag2,2,3,5,0.2,0.05,0.5,,0,10,10,4,,,,,,,,,,,turnstile.jpg,cigar.jpg,pooltable.jpg,trampoline.jpg,totempole.jpg,calendar.jpg,magneticcompass.jpg,hockeystick.jpg,accordion01.jpg,masquerademask01.jpg,bat.jpg,kite.jpg,lawnmower.jpg,cork02.jpg,cocktailshrimp02.jpg,nosmokingsign.jpg,beerbottle.jpg,122.20492039999999,124.9551222,124.6887357999999,None,0,1,7,125.20470419999992,None,125.20470419999992,None,.\resources\totempole.jpg,127.20458250000001,None,1,127.20458250000001,None,right,0.9962851000000228,127.20458250000001,None,128.23784549999982,None,1,left,0.49899539999978515,128.23784549999982,None,128.23784549999982,None,128.7544769000001,None,None,129.75483621999993,None,129.75483621999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag7,7,5,12,0.2,0.05,0.5,,0,11,11,7,,,,,,,,,,,fortunecookie.jpg,arrow02.jpg,footballhelmet.jpg,volleyball.jpg,tire.jpg,beerbottle.jpg,swordfish.jpg,leafrake.jpg,snowboard.jpg,tulip02.jpg,parrot01.jpg,pokerchips.jpg,hulahoop.jpg,uprightpiano01.jpg,giraffe.jpg,curtain.jpg,tortoise01.jpg,129.77148320000015,132.52089620000015,132.23758480000015,None,1,1,14,132.73754770000005,None,132.73754770000005,None,.\resources\pokerchips.jpg,136.50391039999977,None,1,136.50391039999977,None,left,1.1529975999997077,136.50391039999977,None,137.70383059999995,None,1,left,0.22509290000016335,137.70383059999995,None,137.70383059999995,None,137.9538066,None,None,138.95416461999994,None,138.95416461999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag4,4,4,8,0.2,0.05,0.5,,0,12,12,13,,,,,,,,,,,acousticguitar02.jpg,tulip02.jpg,ladder.jpg,englishcucumber.jpg,bathtub.jpg,bumpercar.jpg,mouse.jpg,soccerball.jpg,noparkingsign.jpg,slug.jpg,fortunecookie.jpg,guitarcase.jpg,callbell.jpg,accordion01.jpg,statue.jpg,redfox.jpg,kite.jpg,138.97082909999972,141.72021570000015,141.43689059999997,None,0,1,10,141.93686660000003,None,141.93686660000003,None,.\resources\soccerball.jpg,144.70333459999983,None,1,144.70333459999983,None,right,0.8415482000000338,144.70333459999983,None,145.56991770000013,None,1,left,0.4149438999997983,145.56991770000013,None,145.56991770000013,None,146.03698359999999,None,None,147.03704401999985,None,147.03704401999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,13,13,3,,,,,,,,,,,holdfast.jpg,bathtub.jpg,greywolf.jpg,bluejay.jpg,boat.jpg,tank.jpg,dormer.jpg,kiwi03.jpg,toilet.jpg,stool01.jpg,sword01.jpg,discoball.jpg,ipad02.jpg,wallclock.jpg,key07.jpg,swing.jpg,baseballbat.jpg,147.03648280000016,149.78628690000005,149.51964199999975,None,0,0,6,150.01964839999982,None,150.01964839999982,None,.\resources\bluejay.jpg,151.78614229999994,None,1,151.78614229999994,None,right,1.1267235000000255,151.78614229999994,None,152.95270429999982,None,1,right,0.1922088999999687,152.95270429999982,None,152.95270429999982,None,153.16976369999975,None,None,154.16927372,None,154.16927372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,29.805599600000278,154.18594759999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,hulahoop.jpg,schoolbus.jpg,tire.jpg,foot.jpg,curtain.jpg,lightswitch01.jpg,noparkingsign.jpg,acorn.jpg,mrpotatohead.jpg,badmintonracket.jpg,zipper.jpg,stubbywrench01a.jpg,bowlingball.jpg,sheep.jpg,granolabar01.jpg,parrot01.jpg,chair.jpg,,,,,1,0,13,,,,,.\resources\zipper.jpg,,,1,,,,,,,,,1,,,,,,,,,None,195.30015461999974,None,195.30015461999974,None,,,,,154.18594759999996,None,184.11762989999988,186.86696459999985,186.60032180000007,None,0.2,0.2161825999996836,0.26618729999972857,0.4661641999996391,0.5161650000000009,0.7162349000000177,0.7661865999998554,0.9661344999999528,1.0161346999998386,1.2160893000000215,1.266114000000016,1.466157899999871,1.5161620999997467,1.7161170999997921,1.7660810999996102,1.9660604999999123,2.016056699999808,2.21610069999997,2.2660384999999224,2.466015999999854,2.5160117000000355,2.716003499999715,2.7660031000000345,2.965998299999683,3.0159807,3.2159709999996267,3.2659562999997434,3.4659507999999732,3.5159513999997216,187.0503051999999,None,187.0503051999999,None,190.56670369999983,None,190.56670369999983,None,left,3.3862942000000658,190.56670369999983,None,194.01690569999982,None,right,1.2400413000000299,194.01690569999982,None,194.01690569999982,None,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag4,4,4,8,0.19066666667,0.046667,0.48,ramp,,,,,0,1,1,1,,,,,,,foosballtable.jpg,bed.jpg,microphone01.jpg,electrictoothbrush01c.jpg,skippingrope.jpg,tennisracket.jpg,bacon.jpg,spicerack.jpg,cymbal.jpg,popcorn.jpg,dartboard.jpg,waterfall.jpg,spiderweb.jpg,toolbox02.jpg,dromedary.jpg,icecube02.jpg,bluejay.jpg,,,,,1,1,10,,,,,.\resources\spicerack.jpg,,,1,,,,,,,,,1,,,,,,,,,None,202.66583751999988,None,202.66583751999988,None,,,,,,,195.31680920000008,198.06616609999992,197.7995449,None,0.19066666667,0.19738869999991948,0.24738620000016454,0.43064460000005056,0.4806164000001445,0.6806043999999929,0.7139475999997558,0.9139308999997411,0.963923899999827,1.1473126000000775,1.1972513000000617,1.3805796000001465,1.4305684999999357,1.6305308000000878,1.6638739999998506,1.863863499999752,1.9138520000001336,2.0972444999997606,2.147170599999754,2.330507900000157,2.380480400000124,2.58049149999988,2.6138043000000835,,,,,,,198.31615319999992,None,198.31615319999992,None,200.93262460000005,None,200.93262460000005,None,left,1.4842482999997628,200.93262460000005,None,202.44918199999984,None,left,0.17579410000007556,202.44918199999984,None,202.44918199999984,None,,,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag7,7,4,11,0.18133333334,0.043334,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,lollipop04.jpg,sword01.jpg,snowshoe.jpg,pirateflag.jpg,tank.jpg,nunchuk.jpg,cruiseship.jpg,cashregister01.jpg,urinal.jpg,surfboard.jpg,scooter.jpg,birdhouse.jpg,foot.jpg,kangaroo.jpg,discoball.jpg,locker.jpg,flag.jpg,,,,,1,0,13,,,,,.\resources\scooter.jpg,,,1,,,,,,,,,1,,,,,,,,,None,211.58226112000003,None,211.58226112000003,None,,,,,,,202.68250099999977,205.43233640000017,205.16564759999983,None,0.18133333334,0.19634140000016487,0.22967400000015914,0.41296020000027056,0.4629643000002943,0.6462919000000511,0.6796948000001066,0.8629323000000113,0.9129407000000356,1.0962627000003522,1.1295755000001009,1.3128973000002588,1.362890900000366,1.5295445000001564,1.57962950000001,1.7628856000001178,1.8128735000000233,1.9795321999999942,2.02951209999992,2.212836100000004,2.2628426000001127,2.429494700000305,2.4795610999999553,2.6627955000003567,2.696144400000321,2.8794542000000547,2.9294592000001103,3.112769500000013,3.1461146999999983,205.68227690000003,None,205.68227690000003,None,208.83202290000008,None,208.83202290000008,None,left,2.264812599999914,208.83202290000008,None,211.13230109999995,None,right,0.4206076000000394,211.13230109999995,None,211.13230109999995,None,-10.004054227649341,150.00000012691598,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
AB,lag5,5,5,10,0.17200000001000001,0.040000999999999995,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,pokerchips.jpg,dandelion.jpg,beerbottle.jpg,flamingo.jpg,calendar.jpg,paperairplane.jpg,schoolbus.jpg,harmonica.jpg,butterfly.jpg,saxophone.jpg,birthdaycandle.jpg,magneticcompass.jpg,pigeon.jpg,tree.jpg,peacock.jpg,doghouse.jpg,snowshovel.jpg,,,,,0,1,12,,,,,.\resources\saxophone.jpg,,,1,,,,,,,,,1,,,,,,,,,None,218.89796861999994,None,218.89796861999994,None,,,,,,,211.5989611,214.3483382999998,214.0816476,None,0.17200000001000001,0.17974810000032448,0.2129939999999806,0.3963274000002457,0.42972469999995155,0.59630530000004,0.6462956000000304,0.8129541000002973,0.8629471000003832,1.0296769999999924,1.0629350000003797,1.2462604000002102,1.2796750000002248,1.4462623000003987,1.4962384000000384,1.6628888000000188,1.696229399999993,1.8795655000003535,1.9128660999999738,2.096203200000218,2.1296008000003894,2.2961967999999615,2.3461804000003212,2.512828200000058,2.5461653000002116,2.729570599999988,2.762811000000056,,,214.59828059999973,None,214.59828059999973,None,217.36474769999995,None,217.36474769999995,None,right,0.7722380999998677,217.36474769999995,None,218.18135940000002,None,left,0.6835918000001584,218.18135940000002,None,218.18135940000002,None,-10.008113728385394,150.0000004103055,,,,10,001,2021_Apr_09_1054,AB_pic_singleT2,2021.1.2,60.00996165378676,
