trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,30.371439699999883,41.67610909999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag7,7,5,12,0.2,0.05,0.5,,0,0,0,7,,,,,,,,,41.67610909999985,None,icecube02.jpg,waterfall.jpg,bathtub.jpg,squid.jpg,windmill.jpg,toolbox02.jpg,witchhat.jpg,football.jpg,daddylonglegs.jpg,badmintonracket.jpg,jackrabbit.jpg,fortunecookie.jpg,pokerchips.jpg,nose.jpg,rooster.jpg,tricycle.jpg,rose.jpg,72.11275250000017,74.86211809999986,74.59546420000015,None,0,0,14,75.11210089999986,None,75.11210089999986,None,.\resources\fortunecookie.jpg,78.86185980000027,None,1,78.86185980000027,None,right,1.4577109000001656,78.86185980000027,None,80.36174660000006,None,1,right,2.861768799999936,80.36174660000006,None,80.36174660000006,None,83.26199810000026,None,None,84.26120587999999,None,84.26120587999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag2,2,5,7,0.2,0.05,0.5,,0,1,1,9,,,,,,,,,,,mrpotatohead.jpg,shower.jpg,witchhat.jpg,urinal.jpg,punchingbag.jpg,acorn.jpg,hockeystick.jpg,fingerprint.jpg,musicsheet.jpg,chefshat.jpg,dromedary.jpg,badmintonracket.jpg,wheelchair.jpg,toyanimal05.jpg,africanelephant.jpg,kiwi03.jpg,marble.jpg,84.27859820000003,87.02842640000017,86.74473799999987,None,1,1,9,87.26176620000024,None,87.26176620000024,None,.\resources\hockeystick.jpg,89.76121509999984,None,1,89.76121509999984,None,left,2.5262674999999035,89.76121509999984,None,92.32770479999999,None,1,left,0.9999262000001181,92.32770479999999,None,92.32770479999999,None,93.34431970000014,None,None,94.34395958,None,94.34395958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag1,1,4,5,0.2,0.05,0.5,,0,2,2,12,,,,,,,,,,,lily.jpg,alligator.jpg,parkingmeter.jpg,slug.jpg,drumstick.jpg,ducttape.jpg,uprightpiano01.jpg,seal.jpg,kiwi03.jpg,golfball.jpg,bat.jpg,discoball.jpg,tiger02.jpg,beerbottle.jpg,shower.jpg,mailbox02.jpg,bed.jpg,94.36092749999989,97.11120119999987,96.84454189999997,None,1,1,7,97.34409520000008,None,97.34409520000008,None,.\resources\drumstick.jpg,99.36070470000004,None,1,99.36070470000004,None,left,2.1268889999996645,99.36070470000004,None,101.52718319999985,None,1,left,0.6003138999999464,101.52718319999985,None,101.52718319999985,None,102.1438293000001,None,None,103.14341727999995,None,103.14341727999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,3,3,0,,,,,,,,,,,tie02.jpg,bacon.jpg,penguin.jpg,mattress.jpg,fortunecookie.jpg,swordfish.jpg,pumpkin.jpg,sausage.jpg,sheep.jpg,tulip02.jpg,whiteout.jpg,wheelchair.jpg,zipper.jpg,hockeystick.jpg,saltshaker03a.jpg,dartboard.jpg,accordion01.jpg,103.16042629999993,105.9103442999999,105.64372709999998,None,1,0,13,106.14366860000018,None,106.14366860000018,None,.\resources\whiteout.jpg,109.66010529999994,None,1,109.66010529999994,None,left,1.6515207000002192,109.66010529999994,None,111.36044540000012,None,1,right,0.7353318999998919,111.36044540000012,None,111.36044540000012,None,112.12721330000022,None,None,113.12626047999989,None,113.12626047999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,4,4,8,,,,,,,,,,,honeybee.jpg,hockeypuck.jpg,birthdaycandle.jpg,fridge.jpg,rose.jpg,sandcastle.jpg,arrow02.jpg,flamingo.jpg,drumstick.jpg,greathornowl.jpg,whiteout.jpg,cigar.jpg,snowboard.jpg,helicopter.jpg,wheelbarrow01.jpg,butterfly.jpg,sink.jpg,113.14367200000015,115.89307099999996,115.60979380000026,None,1,0,13,116.1264028999999,None,116.1264028999999,None,.\resources\whiteout.jpg,119.62620800000013,None,1,119.62620800000013,None,left,1.3493858000001637,119.62620800000013,None,121.00994219999984,None,1,right,0.5095909000001484,121.00994219999984,None,121.00994219999984,None,121.55986429999984,None,None,122.55945238,None,122.55945238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,5,5,3,,,,,,,,,,,vulture.jpg,magneticcompass.jpg,panda.jpg,mrpotatohead.jpg,knee.jpg,swing.jpg,apron.jpg,toilet.jpg,englishcucumber.jpg,jeep.jpg,beerbottle.jpg,seal.jpg,fortunecookie.jpg,airhockeytable.jpg,cashregister01.jpg,bullet.jpg,callbell.jpg,122.57647810000026,125.32587710000007,125.0592630000001,None,1,0,6,125.57586720000018,None,125.57586720000018,None,.\resources\mrpotatohead.jpg,127.32577410000022,None,1,127.32577410000022,None,left,1.6818014000000403,127.32577410000022,None,129.04231370000025,None,1,right,0.4853613000000223,129.04231370000025,None,129.04231370000025,None,129.57561579999992,None,None,130.57525058000004,None,130.57525058000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,6,6,6,,,,,,,,,,,doghouse.jpg,harmonica.jpg,tennisracket.jpg,rose.jpg,microwave.jpg,drumset.jpg,foot.jpg,sink.jpg,stubbywrench01a.jpg,tent.jpg,moose.jpg,locker.jpg,chair.jpg,dromedary.jpg,popcorn.jpg,sandcastle.jpg,toolbox02.jpg,130.59223090000023,133.34247540000024,133.05918930000007,None,0,1,11,133.55872039999986,None,133.55872039999986,None,.\resources\stubbywrench01a.jpg,136.57521700000007,None,1,136.57521700000007,None,right,1.6644711000003554,136.57521700000007,None,138.25842300000022,None,1,left,0.5651888000002145,138.25842300000022,None,138.25842300000022,None,138.8417285999999,None,None,139.8413514799999,None,139.8413514799999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag4,4,4,8,0.2,0.05,0.5,,0,7,7,13,,,,,,,,,,,bowlingpin.jpg,nose.jpg,beaver.jpg,bed.jpg,penguin.jpg,badmintonracket.jpg,cheetah.jpg,lily.jpg,funnel.jpg,marble.jpg,bridge.jpg,fortunecookie.jpg,parachute.jpg,bat.jpg,bacon.jpg,pigeon.jpg,hotdogweiner.jpg,139.85834870000008,142.60855960000026,142.3252351000001,None,1,1,10,142.8418873999999,None,142.8418873999999,None,.\resources\lily.jpg,145.5913455,None,1,145.5913455,None,left,2.3122996000001876,145.5913455,None,147.94121070000028,None,1,left,0.290346899999804,147.94121070000028,None,147.94121070000028,None,148.27452730000005,None,None,149.27412648000012,None,149.27412648000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
AB,lag3,3,3,6,0.2,0.05,0.5,,0,8,8,5,,,,,,,,,,,chainsaw.jpg,popcorn.jpg,mrpotatohead.jpg,paperairplane.jpg,electrictoothbrush01c.jpg,swordfish.jpg,bull.jpg,pigeon.jpg,jeans01.jpg,harmonica.jpg,daddylonglegs.jpg,knee.jpg,toucan.jpg,jellyfish.jpg,dandelion.jpg,cobra.jpg,pingpongtable.jpg,149.29113830000006,152.0410627000001,151.77444430000014,None,1,0,8,152.2743842,None,152.2743842,None,.\resources\swordfish.jpg,154.54091789999984,None,1,154.54091789999984,None,left,1.1386377999997421,154.54091789999984,None,155.72418349999998,None,1,right,0.33147039999994377,155.72418349999998,None,155.72418349999998,None,156.09128180000016,None,None,157.0904388799999,None,157.0904388799999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Apr_08_1326,AB_pic_singleT2,2021.1.2,60.00582056465512,
