trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,11.969209800000044,7.799826899999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag3,3,3,6,0.2,0.05,0.5,,0,0,0,5,,,,,,,,,7.799826899999971,None,sledgehammer.jpg,tent.jpg,icecube02.jpg,moon.jpg,tree.jpg,tennisracket.jpg,licenseplate.jpg,athleticsock.jpg,lizard.jpg,swordfish.jpg,trumpet.jpg,rollerblade.jpg,recyclingbin.jpg,leafrake.jpg,cobra.jpg,cork02.jpg,magneticcompass.jpg,19.81733179999992,22.566646299999775,22.300001099999918,None,0,0,8,22.816631099999995,None,22.816631099999995,None,.\resources\tennisracket.jpg,25.06646869999986,None,1,25.06646869999986,None,right,0.47860990000026504,25.06646869999986,None,25.583096899999873,None,1,right,1.306011799999851,25.583096899999873,None,25.583096899999873,None,26.933439200000066,None,None,27.933382429999984,None,27.933382429999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag7,7,4,11,0.2,0.05,0.5,,0,1,1,2,,,,,,,,,,,greywolf.jpg,barrel01.jpg,escalator.jpg,statue.jpg,spiderweb.jpg,donut.jpg,windshieldwiper02.jpg,footballhelmet.jpg,cannon.jpg,mattress.jpg,arrow02.jpg,chainsaw.jpg,saltshaker03a.jpg,eye.jpg,saxophone.jpg,shower.jpg,swing.jpg,27.95006169999988,30.699421599999823,30.43274650000012,None,1,1,13,30.932711599999948,None,30.932711599999948,None,.\resources\arrow02.jpg,34.44909689999986,None,1,34.44909689999986,None,left,1.2639811000003647,34.44909689999986,None,35.74899099999993,None,1,left,1.3960831999997936,35.74899099999993,None,35.74899099999993,None,37.16594040000018,None,None,38.16592832999986,None,38.16592832999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,2,2,8,,,,,,,,,,,scooter.jpg,nosmokingsign.jpg,pigeon.jpg,bowlingpin.jpg,redfox.jpg,giraffe.jpg,cross01.jpg,cashregister01.jpg,bluejay.jpg,saltshaker03a.jpg,cupcake.jpg,jellyfish.jpg,toilet.jpg,swing.jpg,lollipop04.jpg,toyanimal05.jpg,electrictoothbrush01c.jpg,38.18256169999995,40.932346900000084,40.64906440000004,None,0,1,13,41.14859089999982,None,41.14859089999982,None,.\resources\cupcake.jpg,44.665001700000175,None,1,44.665001700000175,None,right,0.800223200000346,44.665001700000175,None,45.49827289999985,None,1,left,0.21482640000022002,45.49827289999985,None,45.49827289999985,None,45.73159769999984,None,None,46.731559730000114,None,46.731559730000114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,3,3,6,,,,,,,,,,,ducttape.jpg,platypus.jpg,foot.jpg,callbell.jpg,saltshaker03a.jpg,lightswitch01.jpg,acorn.jpg,armadillo.jpg,microwave.jpg,microphone01.jpg,birdfeeder.jpg,hotdogweiner.jpg,ladder.jpg,peacock.jpg,basketball01.jpg,greathornowl.jpg,hammerheadshark.jpg,46.74820120000004,49.49839030000021,49.2147073000001,None,1,1,11,49.7146831,None,49.7146831,None,.\resources\microwave.jpg,52.73109579999982,None,1,52.73109579999982,None,left,1.2300116000001253,52.73109579999982,None,53.99767470000006,None,1,left,0.1477799999997842,53.99767470000006,None,53.99767470000006,None,54.180994700000156,None,None,55.18097283000024,None,55.18097283000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag4,4,3,7,0.2,0.05,0.5,,0,4,4,1,,,,,,,,,,,pokerchips.jpg,parachute.jpg,mummy.jpg,rubikcube.jpg,jeans01.jpg,snowshoe.jpg,hotdogweiner.jpg,frisbee.jpg,chair.jpg,pirateflag.jpg,hockeystick.jpg,apron.jpg,squirrel.jpg,trophy01.jpg,lion.jpg,pumpkin.jpg,ant.jpg,55.1975938999999,57.94743389999985,57.66416010000012,None,0,0,9,58.18075950000002,None,58.18075950000002,None,.\resources\hotdogweiner.jpg,60.68055510000022,None,1,60.68055510000022,None,right,0.4086312999997972,60.68055510000022,None,61.14719400000013,None,1,right,0.10987640000030297,61.14719400000013,None,61.14719400000013,None,61.29717949999986,None,None,62.297113830000214,None,62.297113830000214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag1,1,4,5,0.2,0.05,0.5,,0,5,5,12,,,,,,,,,,,ear.jpg,microphone01.jpg,alligator.jpg,spicerack.jpg,vacuumcleaner01.jpg,fishingrod.jpg,mattress.jpg,toilet.jpg,basketball01.jpg,telescope.jpg,stubbywrench01a.jpg,dreamcatcher.jpg,witchhat.jpg,snowboard.jpg,parkingmeter.jpg,dartboard.jpg,well.jpg,62.29709760000014,65.04690669999991,64.78025770000022,None,0,0,7,65.29689280000002,None,65.29689280000002,None,.\resources\vacuumcleaner01.jpg,67.29673959999991,None,1,67.29673959999991,None,right,0.40047610000010536,67.29673959999991,None,67.74671480000006,None,1,right,0.1104113999999754,67.74671480000006,None,67.74671480000006,None,67.89669980000008,None,None,68.89666603000005,None,68.89666603000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,6,6,3,,,,,,,,,,,golfball.jpg,bench01.jpg,rollerblade.jpg,car.jpg,leafblower01.jpg,scorpion.jpg,lion.jpg,electricguitar01.jpg,xylophone.jpg,stubbywrench01a.jpg,windshieldwiper02.jpg,sandcastle.jpg,tarantula.jpg,ironingboard01.jpg,giraffe.jpg,motorcycle.jpg,chair.jpg,68.91329790000009,71.66310900000008,71.37979140000016,None,1,1,6,71.89641449999999,None,71.89641449999999,None,.\resources\car.jpg,73.64628270000003,None,1,73.64628270000003,None,left,0.9148153999999522,73.64628270000003,None,74.5795290000001,None,1,left,0.15754839999999604,74.5795290000001,None,74.5795290000001,None,74.76284820000001,None,None,75.76278293000023,None,75.76278293000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,7,7,11,,,,,,,,,,,cheetah.jpg,wheelchair.jpg,bowlingpin.jpg,mouse.jpg,cobra.jpg,tire.jpg,callbell.jpg,pooltable.jpg,trophy01.jpg,toolbox02.jpg,golfball.jpg,funnel.jpg,snowman.jpg,chefshat.jpg,calendar.jpg,lily.jpg,wheelbarrow01.jpg,75.77944620000017,78.5296400000002,78.26259110000001,None,1,0,11,78.7625567,None,78.7625567,None,.\resources\trophy01.jpg,81.77900369999998,None,0,81.77900369999998,None,right,0.6781342999997833,81.77900369999998,None,82.49563239999998,None,0,left,0.19350340000028154,82.49563239999998,None,82.49563239999998,None,82.72895930000004,None,None,83.72887793,None,83.72887793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
AB,lag4,4,4,8,0.2,0.05,0.5,,0,8,8,13,,,,,,,,,,,saltshaker03a.jpg,flag.jpg,moose.jpg,eyepatch.jpg,seagull.jpg,swing.jpg,moon.jpg,funnel.jpg,fridge.jpg,musicsheet.jpg,microwave.jpg,nose.jpg,beaver.jpg,africanelephant.jpg,tarantula.jpg,frenchfries.jpg,skateboard.jpg,83.74553569999989,86.49574249999978,86.22937989999991,None,0,0,10,86.74572519999992,None,86.74572519999992,None,.\resources\funnel.jpg,89.49512529999993,None,1,89.49512529999993,None,right,0.37804240000014033,89.49512529999993,None,89.8950917000002,None,1,right,0.1619540000001507,89.8950917000002,None,89.8950917000002,None,90.09507919999987,None,None,91.09501753000022,None,91.09501753000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Apr_07_1343,AB_pic_singleT2,2021.1.2,60.01493171501121,
