trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,stimOFF0,stimON0,stimOFF1,stimON1,stimOFF2,stimON2,stimOFF3,stimON3,stimOFF4,stimON4,stimOFF5,stimON5,stimOFF6,stimON6,stimOFF7,stimON7,stimOFF8,stimON8,stimOFF9,stimON9,stimOFF10,stimON10,stimOFF11,stimON11,stimOFF12,stimON12,stimOFF13,stimON13,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,stimOFF14,stimON14,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,7.375950200000261,13.962068399999225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag2,2,3,5,0.2,0.05,0.5,,0,0,0,4,,,,,,,,,13.962068399999225,None,granolabar01.jpg,greatwhiteshark.jpg,steeringwheel.jpg,cheetah.jpg,birthdaycandle.jpg,polarbear.jpg,chimney.jpg,grizzly.jpg,kite.jpg,parkingmeter.jpg,trumpet.jpg,cork02.jpg,microphone01.jpg,bat.jpg,noparkingsign.jpg,drumset.jpg,lollipop04.jpg,21.4086170999999,24.15796979999959,23.891321299999618,None,1,1,7,24.40794839999944,None,24.40794839999944,None,.\resources\birthdaycandle.jpg,26.407780499999717,None,1,26.407780499999717,None,left,2.2262658999998166,26.407780499999717,None,28.674658899999486,None,1,left,2.6633166999999958,28.674658899999486,None,28.674658899999486,None,31.37448469999981,None,None,32.37401643999929,None,32.37401643999929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag1,1,4,5,0.2,0.05,0.5,,0,1,1,12,,,,,,,,,,,lighthouse.jpg,corn02.jpg,ladder.jpg,ladybug03.jpg,cloud.jpg,moose.jpg,lip.jpg,polarbear.jpg,doghouse.jpg,greatwhiteshark.jpg,steeringwheel.jpg,lizard.jpg,witchhat.jpg,kite.jpg,saltshaker03a.jpg,tarantula.jpg,barrel01.jpg,32.3910537999991,35.14086269999916,34.85717349999959,None,0,1,7,35.37418499999967,None,35.37418499999967,None,.\resources\cloud.jpg,37.37363639999967,None,1,37.37363639999967,None,right,2.0923377999997683,37.37363639999967,None,39.50681199999963,None,1,left,1.2231842999999571,39.50681199999963,None,39.50681199999963,None,40.756722699999955,None,None,41.75705113999957,None,41.75705113999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,2,2,3,,,,,,,,,,,elbow.jpg,basketball01.jpg,nunchuk.jpg,shovel01.jpg,chainsaw.jpg,mouse.jpg,electricguitar01.jpg,wheelchair.jpg,penguin.jpg,grizzly.jpg,shower.jpg,flamingo.jpg,tennisracket.jpg,brownsugar.jpg,pokerchips.jpg,candycane01a.jpg,platypus.jpg,41.77371879999919,44.52351539999927,44.25692069999968,None,1,1,6,44.773500199999944,None,44.773500199999944,None,.\resources\shovel01.jpg,46.522973599999204,None,1,46.522973599999204,None,left,3.55102480000005,46.522973599999204,None,50.1060581999991,None,1,left,1.343963000000258,50.1060581999991,None,50.1060581999991,None,51.48928629999955,None,None,52.48961093999933,None,52.48961093999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag3,3,5,8,0.2,0.05,0.5,,0,3,3,10,,,,,,,,,,,tiger02.jpg,tire.jpg,surfboard.jpg,trumpet.jpg,showerhead01.jpg,mattress.jpg,cigar.jpg,guitarcase.jpg,ear.jpg,tank.jpg,skateboard.jpg,tree.jpg,drumset.jpg,flag.jpg,chair.jpg,greatwhiteshark.jpg,mrpotatohead.jpg,52.48960939999961,55.2390420999991,54.97241499999927,None,1,0,10,55.48905339999965,None,55.48905339999965,None,.\resources\guitarcase.jpg,58.238853499999095,None,1,58.238853499999095,None,left,1.1391046000007918,58.238853499999095,None,59.422103299999435,None,1,right,1.6518887000001996,59.422103299999435,None,59.422103299999435,None,61.12242259999948,None,None,62.12191133999986,None,62.12191133999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag7,7,5,12,0.2,0.05,0.5,,0,4,4,7,,,,,,,,,,,chefshat.jpg,lizard.jpg,anchor.jpg,hockeypuck.jpg,jeep.jpg,coffeemaker.jpg,corn02.jpg,acousticguitar02.jpg,skunk.jpg,locker.jpg,apron.jpg,dolphin01.jpg,firehydrant.jpg,marble.jpg,arrow02.jpg,lightswitch01.jpg,cow.jpg,62.139039099999536,64.88837799999965,64.62172809999993,None,0,0,14,65.13836099999935,None,65.13836099999935,None,.\resources\dolphin01.jpg,68.88808589999917,None,0,68.88808589999917,None,left,1.2978888000006918,68.88808589999917,None,70.23844759999974,None,0,left,0.7635522999999012,70.23844759999974,None,70.23844759999974,None,71.03837779999958,None,None,72.03785423999997,None,72.03785423999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag4,4,4,8,0.2,0.05,0.5,,0,5,5,13,,,,,,,,,,,statue.jpg,cashregister01.jpg,pooltable.jpg,spiderweb.jpg,birdnest.jpg,lily.jpg,zipper.jpg,tie02.jpg,eiffeltower.jpg,uprightpiano01.jpg,recyclingbin.jpg,skateboard.jpg,tire.jpg,duck01.jpg,tiger02.jpg,curtain.jpg,lizard.jpg,72.03789669999969,74.7876641999992,74.52101439999933,None,0,0,10,75.02097839999988,None,75.02097839999988,None,.\resources\tie02.jpg,77.78742179999972,None,0,77.78742179999972,None,left,7.046535899999981,77.78742179999972,None,84.85409019999952,None,1,right,1.20407029999933,84.85409019999952,None,84.85409019999952,None,86.10386359999939,None,None,87.10342783999985,None,87.10342783999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,6,6,0,,,,,,,,,,,doghouse.jpg,fishskeleton.jpg,dolphin01.jpg,golfball.jpg,ceilingfan01.jpg,armadillo.jpg,pirateflag.jpg,polarbear.jpg,duck01.jpg,windmill.jpg,cross01.jpg,brownsugar.jpg,firehydrant.jpg,bench01.jpg,church.jpg,bridge.jpg,kite.jpg,87.12047489999986,89.86986109999998,89.58658969999942,None,0,1,13,90.10359799999969,None,90.10359799999969,None,.\resources\cross01.jpg,93.60292369999934,None,1,93.60292369999934,None,right,2.4151308000000427,93.60292369999934,None,96.03608049999912,None,1,left,1.709901500000342,96.03608049999912,None,96.03608049999912,None,97.78596909999942,None,None,98.78630043999928,None,98.78630043999928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag2,2,5,7,0.2,0.05,0.5,,0,7,7,9,,,,,,,,,,,ipad02.jpg,birthdaycandle.jpg,dreamcatcher.jpg,cactus.jpg,zebra.jpg,witchhat.jpg,scooter.jpg,polarbear.jpg,microphone01.jpg,alligator.jpg,zipper.jpg,bathtub.jpg,squirrel.jpg,foldingchair.jpg,sheep.jpg,hotdogweiner.jpg,acorn.jpg,98.80295419999948,101.55285019999974,101.28619929999968,None,1,0,9,101.80282989999978,None,101.80282989999978,None,.\resources\scooter.jpg,104.30220869999994,None,1,104.30220869999994,None,left,1.4997623999997813,104.30220869999994,None,105.8521026999997,None,1,right,1.4139004000007844,105.8521026999997,None,105.8521026999997,None,107.30245209999975,None,None,108.3023744399994,None,108.3023744399994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
AB,lag7,7,4,11,0.2,0.05,0.5,,0,8,8,2,,,,,,,,,,,crosscountryski.jpg,flag.jpg,rose.jpg,trumpet.jpg,fireplace.jpg,alligator.jpg,safe.jpg,tree.jpg,squid.jpg,brownsugar.jpg,apron.jpg,bow.jpg,banjo.jpg,bluecheese.jpg,moon.jpg,icecube02.jpg,kangaroo.jpg,108.31902769999942,111.06839169999967,110.78507219999938,None,1,1,13,111.28503379999984,None,111.28503379999984,None,.\resources\apron.jpg,114.80146269999932,None,1,114.80146269999932,None,left,1.408493300000373,114.80146269999932,None,116.25130419999914,None,1,left,0.558728500000143,116.25130419999914,None,116.25130419999914,None,116.8345864999992,None,None,117.83451643999942,None,117.83451643999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2021_Apr_09_1119,AB_pic_singleT2,2021.1.2,59.981273846533774,
