trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,35.20468719999985,52.15196409999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,0,0,0,,,,,,,,,52.15196409999999,None,daddylonglegs.jpg,sheep.jpg,pooltable.jpg,table01.jpg,banjo.jpg,bumpercar.jpg,stool01.jpg,mrpotatohead.jpg,leafrake.jpg,dromedary.jpg,mouse.jpg,cruiseship.jpg,soccerball.jpg,mummy.jpg,squirrel.jpg,noparkingsign.jpg,chainsaw.jpg,87.41976169999998,90.16912610000008,89.90245750000008,None,1,0,13,90.4190900000001,None,90.4190900000001,None,.\resources\mouse.jpg,93.91886410000006,None,1,93.91886410000006,None,left,2.461895200000072,93.91886410000006,None,96.419173,None,0,left,1.7935072000000218,96.419173,None,96.419173,None,98.25236670000004,None,None,99.25201532000017,None,99.25201532000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag3,3,5,8,0.2,0.05,0.5,,0,1,1,10,,,,,,,,,,,candycane01a.jpg,urinal.jpg,trampoline.jpg,crown.jpg,stubbywrench01a.jpg,redfox.jpg,fortunecookie.jpg,bacon.jpg,cow.jpg,boat.jpg,lollipop04.jpg,magneticcompass.jpg,slug.jpg,skippingrope.jpg,spear02.jpg,parachute.jpg,daddylonglegs.jpg,99.26897250000002,102.01843389999999,101.73508160000006,None,0,0,10,102.25172280000015,None,102.25172280000015,None,.\resources\bacon.jpg,105.00155970000014,None,1,105.00155970000014,None,right,1.0111947000000328,105.00155970000014,None,106.05188040000007,None,1,right,0.44101899999986927,106.05188040000007,None,106.05188040000007,None,106.53479089999996,None,None,107.53483142000016,None,107.53483142000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag3,3,3,6,0.2,0.05,0.5,,0,2,2,5,,,,,,,,,,,greathornowl.jpg,magneticcompass.jpg,statue.jpg,spiderweb.jpg,leafblower01.jpg,seal.jpg,motorcycle.jpg,turnstile.jpg,soccerball.jpg,floorlamp.jpg,showerhead01.jpg,makiroll.jpg,callbell.jpg,pooltable.jpg,dormer.jpg,guitarcase.jpg,hockeypuck.jpg,107.55178750000005,110.30163430000016,110.01835260000007,None,1,0,8,110.53497749999997,None,110.53497749999997,None,.\resources\seal.jpg,112.78445220000003,None,1,112.78445220000003,None,left,1.908203100000037,112.78445220000003,None,114.71765330000017,None,1,right,0.34317460000011124,114.71765330000017,None,114.71765330000017,None,115.08431580000001,None,None,116.08395432000009,None,116.08395432000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,3,3,11,,,,,,,,,,,locker.jpg,boxingglove01.jpg,ironingboard01.jpg,shower.jpg,nose.jpg,cloud.jpg,vacuumcleaner01.jpg,saxophone.jpg,rooster.jpg,nunchuk.jpg,squirrel.jpg,frisbee.jpg,apron.jpg,wheelbarrow01.jpg,motorcycle.jpg,harmonica.jpg,exitsign.jpg,116.10090850000006,118.85114150000004,118.5674348,None,1,1,11,119.08446570000001,None,119.08446570000001,None,.\resources\rooster.jpg,122.0838976,None,1,122.0838976,None,left,4.192944099999977,122.0838976,None,126.31695370000011,None,0,right,2.871711600000026,126.31695370000011,None,126.31695370000011,None,129.23384220000003,None,None,130.23349642000005,None,130.23349642000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag7,7,4,11,0.2,0.05,0.5,,0,4,4,2,,,,,,,,,,,bacon.jpg,accordion01.jpg,cashregister01.jpg,locker.jpg,toyanimal05.jpg,duck01.jpg,uprightpiano01.jpg,floorlamp.jpg,witchhat.jpg,pig.jpg,cobra.jpg,arrow02.jpg,beerbottle.jpg,porcupine.jpg,jeans01.jpg,callbell.jpg,grizzly.jpg,130.2504590000001,133.00028399999997,132.7336461,None,0,0,13,133.23322640000015,None,133.23322640000015,None,.\resources\cobra.jpg,136.74969420000002,None,1,136.74969420000002,None,right,1.5669520999999804,136.74969420000002,None,138.33297300000004,None,1,right,0.3036756999999852,138.33297300000004,None,138.33297300000004,None,138.6829212,None,None,139.68257962000018,None,139.68257962000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag4,4,3,7,0.2,0.05,0.5,,0,5,5,1,,,,,,,,,,,saxophone.jpg,butterfly.jpg,jellyfish.jpg,stool01.jpg,kiwi03.jpg,bowtie.jpg,arrow02.jpg,jackrabbit.jpg,daddylonglegs.jpg,parkingmeter.jpg,flamingo.jpg,spicerack.jpg,skippingrope.jpg,ostrich.jpg,christmastree.jpg,snowboard.jpg,hulahoop.jpg,139.69953600000008,142.44973930000015,142.18314040000018,None,0,0,9,142.68268920000014,None,142.68268920000014,None,.\resources\arrow02.jpg,145.19922040000006,None,1,145.19922040000006,None,right,0.5256550999999945,145.19922040000006,None,145.7658371,None,1,right,0.23086320000015803,145.7658371,None,145.7658371,None,146.0158547000001,None,None,147.01548732000003,None,147.01548732000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,6,6,8,,,,,,,,,,,key07.jpg,leafblower01.jpg,granolabar01.jpg,hockeystick.jpg,duck01.jpg,cashregister01.jpg,spicerack.jpg,cow.jpg,acousticguitar02.jpg,sheep.jpg,uprightpiano01.jpg,accordion01.jpg,footballhelmet.jpg,turnstile.jpg,swordfish.jpg,discoball.jpg,ladder.jpg,147.01576940000018,149.76599220000003,149.49937590000013,None,0,1,13,150.01598050000007,None,150.01598050000007,None,.\resources\uprightpiano01.jpg,153.51540569999997,None,1,153.51540569999997,None,right,1.5452726000000894,153.51540569999997,None,155.09865350000018,None,1,left,0.426116600000114,155.09865350000018,None,155.09865350000018,None,155.5486191,None,None,156.54827322000017,None,156.54827322000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag2,2,5,7,0.2,0.05,0.5,,0,7,7,9,,,,,,,,,,,dartboard.jpg,snowshoe.jpg,totempole.jpg,christmastree.jpg,foosballtable.jpg,beerbottle.jpg,firehydrant.jpg,masquerademask01.jpg,cruiseship.jpg,cigar.jpg,telescope.jpg,ladybug03.jpg,slug.jpg,turnstile.jpg,key07.jpg,spicerack.jpg,cupcake.jpg,156.5652324,159.31551100000001,159.04888670000014,None,1,0,9,159.56551420000005,None,159.56551420000005,None,.\resources\firehydrant.jpg,162.06500100000017,None,1,162.06500100000017,None,left,1.715808600000173,162.06500100000017,None,163.8320145,None,1,right,0.324715999999853,163.8320145,None,163.8320145,None,164.19865330000016,None,None,165.19831792000002,None,165.19831792000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,8,8,3,,,,,,,,,,,parrot01.jpg,cork02.jpg,horse.jpg,frenchfries.jpg,peacock.jpg,tricycle.jpg,saxophone.jpg,lizard.jpg,dreamcatcher.jpg,pokerchips.jpg,barrel01.jpg,badmintonracket.jpg,rooster.jpg,helicopter.jpg,telescope.jpg,parkingmeter.jpg,calendar.jpg,165.21527490000017,167.96466320000013,167.69801140000004,None,0,1,6,168.19798450000008,None,168.19798450000008,None,.\resources\frenchfries.jpg,169.96452250000016,None,1,169.96452250000016,None,right,1.912214499999891,169.96452250000016,None,171.91474800000015,None,1,left,0.6740286000001561,171.91474800000015,None,171.91474800000015,None,172.64803070000016,None,None,173.64729822000015,None,173.64729822000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2021_Apr_08_1300,AB_pic_singleT2,2021.1.2,60.01500375091349,
