trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,textbox.started,textbox.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,textbox_2.started,textbox_2.stopped,textbox_3.started,textbox_3.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,textbox_6.started,textbox_6.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,textbox_4.started,textbox_4.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,stimOFF0,stimON0,stimOFF1,stimON1,stimOFF2,stimON2,stimOFF3,stimON3,stimOFF4,stimON4,stimOFF5,stimON5,stimOFF6,stimON6,stimOFF7,stimON7,stimOFF8,stimON8,stimOFF9,stimON9,stimOFF10,stimON10,stimOFF11,stimON11,stimOFF12,stimON12,stimOFF13,stimON13,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,textbox_5.started,textbox_5.stopped,B0,B1,stimOFF14,stimON14,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,9.180854299999737,19.295641699999578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag2,2,5,7,0.2,0.05,0.5,,0,0,0,9,,,,,,,,,19.295641699999578,None,volleyball.jpg,magneticcompass.jpg,hotdogweiner.jpg,greathornowl.jpg,parkingmeter.jpg,squid.jpg,football.jpg,brownsugar.jpg,steeringwheel.jpg,cross01.jpg,coffeemaker.jpg,crosscountryski.jpg,daddylonglegs.jpg,giraffe.jpg,badmintonracket.jpg,windmill.jpg,tent.jpg,28.521724600000198,31.272096099999544,31.005286700000397,None,1,0,9,31.52208419999988,None,31.52208419999988,None,.\resources\football.jpg,34.02145389999987,None,1,34.02145389999987,None,left,1.3510606999998345,34.02145389999987,None,35.40512419999959,None,1,right,0.9993100000001505,35.40512419999959,None,35.40512419999959,None,36.438415700000405,None,None,37.437945900000344,None,37.437945900000344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag4,4,4,8,0.2,0.05,0.5,,0,1,1,13,,,,,,,,,,,bat.jpg,beerbottle.jpg,cobra.jpg,peacock.jpg,flag.jpg,moose.jpg,crown.jpg,parrot01.jpg,cork02.jpg,volleyball.jpg,bluecheese.jpg,bow.jpg,bowlingpin.jpg,honeybee.jpg,redfox.jpg,magneticcompass.jpg,waterfountain02.jpg,37.454588599999624,40.20442920000005,39.921124899999995,None,0,1,10,40.437750799999776,None,40.437750799999776,None,.\resources\parrot01.jpg,43.18758259999959,None,1,43.18758259999959,None,right,1.896912600000178,43.18758259999959,None,45.121224399999846,None,1,left,0.13921810000010737,45.121224399999846,None,45.121224399999846,None,45.304539900000236,None,None,46.30450200000014,None,46.30450200000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag4,4,3,7,0.2,0.05,0.5,,0,2,2,1,,,,,,,,,,,grizzly.jpg,slug.jpg,scorpion.jpg,hotdogweiner.jpg,snowshovel.jpg,escalator.jpg,arrow02.jpg,baseballbat.jpg,zebra.jpg,hockeypuck.jpg,tarantula.jpg,scooter.jpg,butterfly.jpg,ear.jpg,rose.jpg,airhockeytable.jpg,snowman.jpg,46.32117010000002,49.07057809999969,48.78726139999981,None,0,1,9,49.28724669999974,None,49.28724669999974,None,.\resources\arrow02.jpg,51.803767600000356,None,1,51.803767600000356,None,right,2.3446790999996665,51.803767600000356,None,54.18691909999961,None,1,left,1.217530799999622,54.18691909999961,None,54.18691909999961,None,55.453508200000215,None,None,56.45345219999963,None,56.45345219999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,3,3,11,,,,,,,,,,,rubikcube.jpg,rooster.jpg,boxingglove01.jpg,eyepatch.jpg,trampoline.jpg,sword01.jpg,hulahoop.jpg,coffeemaker.jpg,funnel.jpg,sledgehammer.jpg,cobra.jpg,soccerball.jpg,snowshoe.jpg,corn02.jpg,lollipop04.jpg,bluejay.jpg,microphone01.jpg,56.453457499999786,59.203694599999835,58.93702829999984,None,1,0,11,59.45368299999973,None,59.45368299999973,None,.\resources\funnel.jpg,62.453093799999806,None,1,62.453093799999806,None,left,1.0714993000001414,62.453093799999806,None,63.553035900000395,None,0,left,1.01145329999963,63.553035900000395,None,63.553035900000395,None,64.5862747000001,None,None,65.58621869999952,None,65.58621869999952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag7,7,5,12,0.2,0.05,0.5,,0,4,4,7,,,,,,,,,,,lighthouse.jpg,cocktailshrimp02.jpg,crown.jpg,sink.jpg,bow.jpg,well.jpg,bowlingpin.jpg,chair.jpg,lily.jpg,dreamcatcher.jpg,fishskeleton.jpg,scorpion.jpg,cashregister01.jpg,bluecheese.jpg,tulip02.jpg,curtain.jpg,knee.jpg,65.60289060000014,68.35310870000012,68.08648290000019,None,0,1,14,68.60311009999987,None,68.60311009999987,None,.\resources\scorpion.jpg,72.3524967000003,None,1,72.3524967000003,None,right,0.5238607999999658,72.3524967000003,None,72.90246380000008,None,1,left,0.30199220000031346,72.90246380000008,None,72.90246380000008,None,73.25244300000031,None,None,74.25240979999963,None,74.25240979999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,5,5,8,,,,,,,,,,,cigar.jpg,cork02.jpg,slug.jpg,masquerademask01.jpg,skateboard.jpg,toad.jpg,rollerblade.jpg,christmaslights.jpg,pig.jpg,anchor.jpg,swordfish.jpg,sword01.jpg,guitarcase.jpg,tent.jpg,barrel01.jpg,tulip02.jpg,dreamcatcher.jpg,74.25241399999959,77.00275340000007,76.7356835999999,None,1,0,13,77.25274460000037,None,77.25274460000037,None,.\resources\swordfish.jpg,80.75204880000001,None,1,80.75204880000001,None,left,1.1722970999999234,80.75204880000001,None,81.9686942999997,None,0,left,0.9156077999996342,81.9686942999997,None,81.9686942999997,None,82.91900900000019,None,None,83.91896449999986,None,83.91896449999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag2,2,3,5,0.2,0.05,0.5,,0,6,6,4,,,,,,,,,,,noparkingsign.jpg,statue.jpg,donut.jpg,waterfall.jpg,trophy01.jpg,lollipop04.jpg,cigar.jpg,golfball.jpg,magneticcompass.jpg,musicsheet.jpg,dreamcatcher.jpg,ipad02.jpg,crab01.jpg,zipper.jpg,discoball.jpg,hockeypuck.jpg,skunk.jpg,83.93566470000042,86.68504140000005,86.40173909999976,None,1,0,7,86.91836049999984,None,86.91836049999984,None,.\resources\trophy01.jpg,88.91827009999997,None,1,88.91827009999997,None,left,1.8620891999999003,88.91827009999997,None,90.81810529999984,None,0,left,0.2502532999997129,90.81810529999984,None,90.81810529999984,None,91.08478569999988,None,None,92.08469869999972,None,92.08469869999972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag7,7,4,11,0.2,0.05,0.5,,0,7,7,2,,,,,,,,,,,butterfly.jpg,greywolf.jpg,accordion01.jpg,sword01.jpg,uprightpiano01.jpg,nosmokingsign.jpg,ceilingfan01.jpg,waterfall.jpg,football.jpg,steeringwheel.jpg,ironingboard01.jpg,dolphin01.jpg,cannon.jpg,squid.jpg,cashregister01.jpg,mouse.jpg,pingpongtable.jpg,92.10136789999979,94.8516268000003,94.58496070000001,None,0,0,13,95.08452060000036,None,95.08452060000036,None,.\resources\ironingboard01.jpg,98.60098079999989,None,1,98.60098079999989,None,right,2.0113059000004796,98.60098079999989,None,100.65088050000031,None,1,right,0.12949420000040845,100.65088050000031,None,100.65088050000031,None,100.80085309999959,None,None,101.80078619999968,None,101.80078619999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag3,3,3,6,0.2,0.05,0.5,,0,8,8,5,,,,,,,,,,,africanelephant.jpg,kangaroo.jpg,coffeemaker.jpg,hammerheadshark.jpg,marble.jpg,redfox.jpg,kite.jpg,wheelbarrow01.jpg,giraffe.jpg,bowlingball.jpg,pingpongtable.jpg,noparkingsign.jpg,locker.jpg,parkingmeter.jpg,fishskeleton.jpg,escalator.jpg,horseshoe.jpg,101.8174597999996,104.56770299999971,104.30067950000011,None,0,0,8,104.81769879999956,None,104.81769879999956,None,.\resources\redfox.jpg,107.06714579999971,None,1,107.06714579999971,None,right,1.793239900000117,107.06714579999971,None,108.88368749999972,None,0,left,0.9205929999998261,108.88368749999972,None,108.88368749999972,None,109.85030319999987,None,None,110.8502386000002,None,110.8502386000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag1,1,4,5,0.2,0.05,0.5,,0,9,9,12,,,,,,,,,,,toad.jpg,seal.jpg,frisbee.jpg,crosscountryski.jpg,athleticsock.jpg,waterfountain02.jpg,lion.jpg,birthdaycandle.jpg,jeep.jpg,moose.jpg,triangle.jpg,christmastree.jpg,doghouse.jpg,dolphin01.jpg,hockeypuck.jpg,bow.jpg,kiwi03.jpg,110.86690590000035,113.61711259999993,113.3504769000001,None,1,0,7,113.85006080000039,None,113.85006080000039,None,.\resources\athleticsock.jpg,115.86663299999964,None,1,115.86663299999964,None,left,2.209632000000056,115.86663299999964,None,118.0998110999999,None,1,right,1.7365786999998818,118.0998110999999,None,118.0998110999999,None,119.88303799999994,None,None,120.88299829999978,None,120.88299829999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag5,5,4,9,0.2,0.05,0.5,,0,10,10,6,,,,,,,,,,,rubikcube.jpg,lily.jpg,chimney.jpg,pirateflag.jpg,eye.jpg,stool01.jpg,football.jpg,anchor.jpg,jeep.jpg,dalmatian.jpg,tie02.jpg,drumset.jpg,frenchfries.jpg,frisbee.jpg,nunchuk.jpg,car.jpg,greywolf.jpg,120.88297539999985,123.63290659999984,123.36670219999996,None,0,0,11,123.88288879999982,None,123.88288879999982,None,.\resources\jeep.jpg,126.88269000000037,None,1,126.88269000000037,None,right,0.7135938000001261,126.88269000000037,None,127.63263879999977,None,0,left,0.4117160999994667,127.63263879999977,None,127.63263879999977,None,128.0826178999996,None,None,129.08301369999953,None,129.08301369999953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag3,3,5,8,0.2,0.05,0.5,,0,11,11,10,,,,,,,,,,,icecube02.jpg,cross01.jpg,toucan.jpg,sausage.jpg,scooter.jpg,parachute.jpg,apron.jpg,dromedary.jpg,africanelephant.jpg,tennisracket.jpg,firehydrant.jpg,granolabar01.jpg,lighthouse.jpg,table01.jpg,surfboard.jpg,telescope.jpg,saxophone.jpg,129.09965529999954,131.84905979999985,131.56579039999997,None,1,1,10,132.0823835000001,None,132.0823835000001,None,.\resources\dromedary.jpg,134.83225519999996,None,1,134.83225519999996,None,left,0.8279505999998946,134.83225519999996,None,135.69883779999964,None,1,left,0.13757079999959387,135.69883779999964,None,135.69883779999964,None,135.88215649999984,None,None,136.88256000000018,None,136.88256000000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,12,12,0,,,,,,,,,,,uprightpiano01.jpg,witchhat.jpg,worldmap.jpg,rollerblade.jpg,honeybee.jpg,sandcastle.jpg,spiderweb.jpg,lily.jpg,raccoon.jpg,lizard.jpg,armadillo.jpg,chainsaw.jpg,eiffeltower.jpg,makiroll.jpg,microphone01.jpg,moose.jpg,penguin.jpg,136.8991984000004,139.64860810000027,139.3652877000004,None,1,0,13,139.8652616999998,None,139.8652616999998,None,.\resources\armadillo.jpg,143.3817213000002,None,1,143.3817213000002,None,left,1.6546234000006734,143.3817213000002,None,145.09866969999985,None,1,right,0.5055404999993698,145.09866969999985,None,145.09866969999985,None,145.63197209999998,None,None,146.6314975999996,None,146.6314975999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag1,1,3,4,0.2,0.05,0.5,,0,13,13,3,,,,,,,,,,,schoolbus.jpg,acorn.jpg,tent.jpg,fridge.jpg,stool01.jpg,duck01.jpg,cross01.jpg,football.jpg,jackrabbit.jpg,eyepatch.jpg,hotdogweiner.jpg,popcorn.jpg,exitsign.jpg,mummy.jpg,punchingbag.jpg,mailbox02.jpg,jeep.jpg,146.64817029999995,149.3984035000003,149.1150759000002,None,1,0,6,149.61466120000023,None,149.61466120000023,None,.\resources\fridge.jpg,151.38122550000026,None,1,151.38122550000026,None,left,1.3511231000002226,151.38122550000026,None,152.7478275000003,None,1,right,0.7604524999997011,152.7478275000003,None,152.7478275000003,None,153.53110039999956,None,None,154.53103049999953,None,154.53103049999953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.455143500000304,154.54769980000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,jellyfish.jpg,bull.jpg,ostrich.jpg,dartboard.jpg,electricguitar01.jpg,ladder.jpg,waterfall.jpg,arrow02.jpg,stubbywrench01a.jpg,table01.jpg,dragonfly01.jpg,badmintonracket.jpg,sink.jpg,popcorn.jpg,redfox.jpg,fridge.jpg,bluejay.jpg,,,,,1,0,13,,,,,.\resources\dragonfly01.jpg,,,0,,,,,,,,,0,,,,,,,,,None,168.14691150000016,None,168.14691150000016,None,,,,,154.54769980000037,None,160.14778839999963,162.89721780000036,162.6305736000004,None,0.2,0.21585310000045865,0.2658547000000908,0.46583819999978004,0.5158356000001731,0.7158239000000322,0.7658209000001079,0.9658552999999301,1.0158534000001964,1.2157955000002403,1.2657931000003373,1.4657843000004505,1.5157790000002933,1.7157685000001948,1.7657681000000593,1.9657521999997698,2.0157498999997188,2.2157804999997097,2.2657358000005843,2.4657327000004443,2.515698899999734,2.7157081000004837,2.765707200000179,2.9656906999998682,3.015693000000283,3.215674900000522,3.265678700000535,3.465669500000331,3.5156634000004487,163.06388119999974,None,163.06388119999974,None,166.58038550000038,None,166.58038550000038,None,right,1.3198873999999705,166.58038550000038,None,167.94692209999994,None,left,0.16922620000059396,167.94692209999994,None,167.94692209999994,None,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag4,4,4,8,0.19066666667,0.046667,0.48,ramp,,,,,0,1,1,1,,,,,,,spicerack.jpg,whiteout.jpg,raccoon.jpg,bluejay.jpg,pingpongtable.jpg,mrpotatohead.jpg,mailbox02.jpg,penguin.jpg,wheelbarrow01.jpg,licenseplate.jpg,harmonica.jpg,bridge.jpg,golfball.jpg,toolbox02.jpg,ear.jpg,dalmatian.jpg,drumstick.jpg,,,,,1,1,10,,,,,.\resources\penguin.jpg,,,1,,,,,,,,,0,,,,,,,,,None,175.61362109999953,None,175.61362109999953,None,,,,,,,168.16357729999982,170.91390789999969,170.6474801000004,None,0.19066666667,0.19743300000027375,0.24742520000017976,0.4307195999999749,0.4807032999997318,0.680757299999641,0.7140442999998413,0.9140310000002501,0.9640249000003678,1.1474840999999287,1.1974460000001272,1.3806617999998707,1.430699800000184,1.6306441999995513,1.6639750000003914,1.863962000000356,1.9139594999996916,2.0973339000001943,2.147345200000018,2.3306265000001076,2.38060299999961,2.5805951000002096,2.6139212999996744,,,,,,,171.1638995000003,None,171.1638995000003,None,173.77993630000037,None,173.77993630000037,None,left,1.5922056999997949,173.77993630000037,None,175.41359809999994,None,right,0.18270430000029592,175.41359809999994,None,175.41359809999994,None,,,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag7,7,4,11,0.18133333334,0.043334,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,doghouse.jpg,bullet.jpg,surfboard.jpg,saltshaker03a.jpg,marble.jpg,pig.jpg,christmastree.jpg,parkfountain.jpg,hotdogweiner.jpg,redfox.jpg,bluecheese.jpg,drumstick.jpg,helicopter.jpg,sausage.jpg,horse.jpg,lollipop04.jpg,mouse.jpg,,,,,0,1,13,,,,,.\resources\bluecheese.jpg,,,1,,,,,,,,,1,,,,,,,,,None,182.57945349999972,None,182.57945349999972,None,,,,,,,175.63028380000014,178.3796996000001,178.11301269999967,None,0.18133333334,0.19625559999985853,0.22962890000053449,0.41288650000024063,0.46288689999983035,0.6462049000001571,0.6795883000004324,0.8628712999998243,0.9128639999998995,1.096187799999825,1.1295739000006506,1.3128483999998934,1.3628397000002224,1.5295503000006647,1.5795480000006137,1.7628099000003203,1.8128113000002486,1.9795215000003736,2.0295122000006813,2.212785600000643,2.2627904999999373,2.4294957000001887,2.4794959000000745,2.662771000000248,2.696095199999945,2.879418500000611,2.929468199999974,3.1127402000001894,3.1460868000003757,178.62964780000038,None,178.62964780000038,None,181.77947229999972,None,181.77947229999972,None,right,0.5286310999999841,181.77947229999972,None,182.34610489999977,None,left,0.20219900000029156,182.34610489999977,None,182.34610489999977,None,-27.747710406684426,146.33193657902984,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
AB,lag5,5,5,10,0.17200000001000001,0.040000999999999995,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,soccerball.jpg,trumpet.jpg,cow.jpg,toyanimal05.jpg,cross01.jpg,parkingmeter.jpg,tortoise01.jpg,panda.jpg,uprightpiano01.jpg,bridge.jpg,snowboard.jpg,xylophone.jpg,athleticsock.jpg,honeybee.jpg,beerbottle.jpg,foosballtable.jpg,footballhelmet.jpg,,,,,0,1,12,,,,,.\resources\bridge.jpg,,,1,,,,,,,,,1,,,,,,,,,None,190.96269260000025,None,190.96269260000025,None,,,,,,,182.5960938999997,185.34593080000013,185.07931000000008,None,0.17200000001000001,0.17940420000013546,0.21278970000003028,0.3960607999997592,0.4293887000003451,0.5960901999997077,0.646039600000222,0.8126996999999392,0.862750799999958,1.0293598999996902,1.0627360999997109,1.2460093999998207,1.2793397000004916,1.445998199999849,1.4959914999999455,1.662699900000007,1.712697500000104,1.8792997999998988,1.9126391999998305,2.0959600000005594,2.1292926000005536,2.295948699999826,2.345959899999798,2.512652000000344,2.5459326999998666,2.7292702000004283,2.762632500000109,,,185.59591629999977,None,185.59591629999977,None,188.36241809999956,None,188.36241809999956,None,right,0.9539235000002009,188.36241809999956,None,189.37902529999974,None,left,1.5452552999995532,189.37902529999974,None,189.37902529999974,None,-26.59298461560292,146.2013061421497,,,,13,001,2021_Apr_09_1120,AB_pic_singleT2,2021.1.2,59.98422414916361,
